SD,SE,ND,NE
1,96,341,18682
1,1067,31,10
565,3999,1568,18016
1,24,1120,22197
10,57,1300,4772
813,452790,1582,24132
5,48,367,21248
28,1,4,21248
1,1734,148,90480
26,117328,2633,6085
9,29,683,4928
1,164,340,6002
1,12,1,456
54,1,88,49799
1,70,80,19285
812,1,1568,26101
1,1,941,38139
1,6,367,1452
1,44,306,6224
4,298,1568,21248
1,2,6,48875
2,1726,114,1
31,1,8,21641
5,59387,2,25552
8,37,367,3
11,1059,176,50881
51,247,19,12272
568,369,176,7308
1,2,2,8137
1,4,944,17930
1,879,18,70626
1,2,12,11609
8,2631,244,1129
206,2,54,8456
1,1,10,47238
1,1,363,7880
6,1,3,4737
565,68,440,4160
1,118392,1,48
2,17,4,67810
189,7177,153,2552
4,3,342,21248
490,19,342,56
82,13,322,35366
7,137458,4,5844
1,3,2,32568
1,20,80,6086
2,1,323,12965
1,253618,8,14344
1,2,719,20859
4,39,1068,33099
3,1,685,3341
1,2367,340,1
3,895,4,10166
48,61,358,322
4,93,340,21248
6,7,176,73072
4,28,1569,3870
9,29,1300,32731
15,8,32,1
3,142,5577,11492
812,2,249,21248
5,1890,1,2280
1,603129,1,544
565,2255,389,45342
1,2,4785,9932
7,5,354,77571
1,8,892,155
11,1,367,46183
1,210,707,21248
1,16160,691,61936
3,7,1659,4736
3,659,1,18530
1,437,348,49
28,9,671,741
3,38,2,933
5,49,1450,22057
1,1141,30,4324
1,15,358,1
4,4,33,14325
4,7,6,784
1,21,138,14
55,228,21,23136
4,21,89,19193
3,19,140,1
5,3,3,276128
1,16,4,10311
4,326927,4,1
1,1,1568,7235
1,352,1472,20095
7,1,1568,20280
2,258093,48,1
10,304,2674,48
2,1,1,25883
4,19,367,49184
78,26,1,21248
3,15,44,7
1,231,8,114
1,328,1,20458
1,19,3077,1
1,9,89,7816
1,15,4,63761
1,10,1664,1778
19,41,10,14144
11,43,5577,23034
1,27,89,1477
565,10,89,811
4,4,340,20387
4,967,1584,18537
13,158767,80,28628
14,520,1550,13280
3,1,965,32568
5,3,6,75483
4,3792,81,21977
1,2,354,11139
2,1,2,9818
1,3792,369,21248
1,92,5,18989
2,1,147,13280
34,289,1,48
3,10457,1,9171
9,118,688,96
2,15,89,1
8,224,1300,16594
2,2614,367,4710
1,55,949,21248
7,1,1013,4333
1,2701,244,26447
1,77,717,52
78,2,2,534
2,4,1,5180
1,70,671,33106
3,1,2,22791
10,2,6,155
3,1,1,13089
1,12,362,16595
1,3,9,62857
11,139,363,22842
78,299,892,21682
2,4,1669,30579
828,7,340,26251
8,12,961,2175
15,2,31,716
1,1,367,46657
1,8,1302,2
1,174,64,29102
1,7,382,26442
1,1,1,22293
881,1,2240,8975
812,50,12,33506
1,2,1,6
1,42,1,29019
105,5,693,9
2,4,3,104651
2,17,1,140
29,62,31,709
1,3,1,7938
6,28,26,4770
2,48,2,144177
812,340,1,49
5,4,2,5253
1,975,6,27195
2,762,1,30570
1,39,12,3
1,866,367,16
2,118,341,47487
189,3,2,182
14,7450,1456,1
2,33412,148,21248
1,52,147,56521
1,205,12,66844
1,6,3286,79802
1,2957,60,2698
1,3,1315,20620
1,32,3152,34856
1,399,1,37507
1,24,1677,1329
18,67,757,21753
4,80852,1161,6
77,1088,1172,127
13,3076,367,11311
1,3,82,18232
9,34,1,48
43,2,320,21248
1,1,1300,20901
1,173,1657,1650
1,1030,685,12433
8,16,1,47583
1,7,652,15422
1,571,22,199
4,41,721,27383
1,23,4179,3
1,1,707,1516
1,4,1,20516
26,1,157,8404
352,370,66,33195
2,58,5,24707
2,3702,691,1126
1,160,89,1841
828,65,1136,6
2,5,892,48
1,44,32,72
1,1108,1,2691
7,133700,333,9018
1,11,2293,5562
1,217376,685,38470
3,4,1568,21248
1,260,12,2982
1,49,1,194
565,11,2866,802
1,855,1,449
4,538,89,32526
3,990,5577,1
15,183,4,15
1,22,1580,2958
1,90,1,7791
812,4,15,784
2,121403,11,40
903,53,89,1543
1,18,340,1
1,14,80,1572
1,912170,68,12652
1,3,1,236
6,989,5577,4829
1,13,661,4766
2,210902,89,38736
815,116566,354,43418
79,35,3,21911
3,1,6,20521
1,31,333,33302
1,98,35,183051
4,5,5,9
3,346,1,10074
1,68,1,72805
2,2,1228,599
2,73605,1,3
49,2,1,290
3,7405,12,623
1,1,11,42894
2,9,4,12814
5,150,1,21248
2,51,8,4970
2,76,1,19002
3,896587,340,7805
3,560,114,16177
3,3256,24,1
50,252405,256,33828
29,4,3,16176
4,4868,25,2
1,3,671,48
1,1015,140,4336
3,974,167,7726
11,2,367,1
16,1,89,25843
19,7654,1524,21248
2,1,408,605
5,2,19,21248
2,12902,367,32994
812,2135,9,1
1,8,166,29020
4,147,12,8691
111,20,1,61716
1,3,2,25883
1,5634,2,45957
1,9758,290,32679
1,4,4,13810
14,42,216,2
829,1275,1001,67075
138,14346,367,63121
12,1,320,6699
1,117747,13,33635
1,4,877,4367
3,7,4,1
1,9035,7,43443
4,33833,8,45260
1,326,1,21248
3,3,25,380
1,487,25,4641
48,2,8,6707
1,30,367,63968
565,4,1,6085
2,10,358,17908
1,10,3416,1
1,46,88,48
1,195,2,23467
2,1,748,7272
35,2851,144,158
8,191,3,30
1,11,6,1
1,5,1,20948
2,17,367,12
20,4,56,21701
1,181,334,21248
4,8,651,53175
1,1,1,21248
1,89,26,25460
2,280,19,25247
1,20,354,32679
812,3997,1032,48
1,15,367,19627
4,5,969,21248
1,225,892,72697
1,43590,7,36931
5,4,651,19717
415,19,694,30495
3,258,1664,1
1,154278,2,11831
2,3,1,2269
1,4384,1,7115
3,42,368,27372
78,12,1568,5
1,3,31,23991
1,1484,363,22675
189,406,54,11057
10,1437,367,1
5,23,21,1
3,3,3,41378
13,1454,387,175
3,4,138,3
5,123,4,884
26,115,4,28705
812,1122,89,6175
7,4,1,18
2,1,878,48
4,67286,1,46993
1,7,7,56521
568,3792,6,40996
1,327959,4,33529
1,5,2,1
2,41,6,649
474,17,79,11957
94,29,2,12219
1,38,79,62311
2,46092,320,14135
104,22,15,46972
1,7,1,61893
1,136,244,175
1,1,2,15657
812,550,367,48
1,2,323,48
184,416,22,40357
8,815,5,784
1,8,367,6745
54,35,1648,20543
4,6,20,29603
4,2,669,89574
3,53100,25,46380
2,28331,1,27114
3,217,67,195
812,52,11,6134
351,24,1570,31846
1,283,1,155
2,365,2,18837
6,121,308,21420
48,21,321,13025
1,446,694,3010
28,21,1129,19122
14,77,88,5636
48,5,50,56
2,21,790,26498
2,5,367,300
3,3,354,22216
8,10519,306,39346
190,9,1,6110
1,2,1010,322
2,151,340,622
4,28319,2332,14613
1,224,9,68214
1,1,4,32568
829,3836,147,4774
2,1061,671,1
1,36,1634,36412
1,2,72,2427
1,26,892,49
1,61,6,787
9,7753,7,524
1,1,1,65136
1,5,4,3726
1,66,128,128
2,11,1,39592
1,1,25,4
4,1,877,6089
1,17,2,4273
8,17,1,10682
1,61,4,29389
14,941,244,15
21,4,89,11852
1,11,25,13
2,1,734,2234
30,632988,501,21248
2,468,1658,4
6,14,25,60092
1,8,32,21782
1,1,343,6236
1,1,1319,6795
3,659,89,23051
1,55,1568,33401
2,3,34,26230
1,2,2,1158
3,1,2,2577
5,2,109,33677
1,3,154,17207
1,281,1,4285
1,4,1,48
9,117,1,128
3,1,5,33526
25,2,109,29316
1,1,367,21397
3,1,290,313
5,50,341,15138
3,4,4,33723
1,15,367,7267
3,240059,1,32766
9,95,671,21929
1,2,30,4
77,1,139,33726
184,1,102,1273
2,57,25,3169
27,24,663,9169
14,20,8,45446
1,2026,1,21324
1,632,1460,15914
7,2999,965,132
14,5671,5,3792
1,796542,6,11957
1,1548,176,13
1,9,719,1
812,1,1456,12068
6,48,1568,48
1,1968,60,2769
1,87098,252,1516
1,349,720,79596
1,3,2,32621
2,216,367,20922
2,6,340,30305
1,1,138,122
4,3,4,1
48,1,2,31150
1,3576,148,11093
1,251,2,197
2,340,54,12701
3,345,4,9420
1,447035,354,4
1,2,1677,9
9,3,12,81534
7,8,11,180
1,22030,367,51181
48,6,367,26353
4,5,114,2677
2,2724,114,59394
1,1,367,48
2,1,1568,2377
36,1523,694,24722
1,4,1,33192
1,6,27,96
1,4,89,54925
6,233,2,48951
104,241,1568,647
90,3,367,33903
3,80,1,878
1,230,3,7413
14,659,89,21248
1,19,3165,15751
1,699,15,7965
1,324008,130,25404
11,835,1568,6365
3,3,367,19191
1377,187,333,25739
5,7,737,474
1,2,3,18484
2,15,1,37980
1,37,2215,2
1,1,734,1
78,204492,2,1587
2,2,2,454
1,1,176,2
1,5235,84,33506
5,2,90,155
1,5427,5050,145
1,119581,1652,4641
7,598,367,51947
1,658,8,20385
2,8,2,108
66,452,354,2910
6,7,1,54328
4,1,18,228
4,220172,1626,1
2,10427,354,33106
1,103,25,50
78,6,89,21248
2,2,3318,54159
5,7,1261,13
13,185159,89,5
1,62,671,6432
10,13,1058,986
3,1,363,1
812,31,88,11672
1,482,4,45210
1,5,4,13393
3,5,27,51234
2,1315,4,32568
78,1,1068,11415
2,11,7,630
2,449803,25,1
26,6,363,785
1,11822,340,30414
2,87,4,23720
1,29,1568,58216
1,89,290,37509
54,12,4,2377
1,3,29,13692
2,7,501,35290
1,285,1,21967
2,1,1,1
1,4,382,185
2,1025,139,984
189,10,367,361
28,15,1263,21248
2,54,88,24933
13,1,12,21830
484,1523,11,173
2,4,4,8093
1,3,11,14
1,15,1702,2497
9,7,1,1770
1,1144,1607,99223
1,17,387,194
1,561,892,30818
1,1236,367,22953
3,1,367,14
11,1149,1478,33245
3,138,2,4432
14,24,2,2377
8,4,66,2487
3,6145,4,20827
9,7,4,52
565,465,12,195
3,388,89,1516
830,852,4,805
2,588,11,3695
1,156,147,74662
2,127490,2,2
1,87,340,21248
1,3,6,1
812,11,354,1165
4,1226,719,23720
282,4,1459,15554
412,2,1032,22538
496,1,1570,2
18,12741,1,3
1,802,3,572
1,10717,2,27501
1,424,2,19627
1,8,82,1
1,674,138,32679
4,808,367,33106
138,45118,6,64125
812,128,1,2
1,304706,382,32568
3,3,1060,2151
1,13,89,738
1,3029,1,3727
1,296,2,70093
9,4,176,5199
1,14,367,1127
1,1,91,13277
1,1,367,30718
3,166,337,2040
5,1,1,319
1,1,12,2656
569,2,4,5215
7,69,26,18
829,41,1658,64424
8,3120,945,21277
1,7,1,45855
1,597292,354,16900
22,18,321,2377
6,115003,18,30957
1,3,2,23315
2,449,8,3972
1,2557,1,32963
1,158561,11,7
2,16,2,32651
1,117619,1,9
48,214891,31,26587
4,6,1,873
101,1,89,48
8,54,668,5
5,5,363,49
2,6818,5,16659
1,30,2,47198
3,1,2,5166
4,3758,296,38
3,11,89,46
187,3,25,254
62,17,1,151949
189,4,341,54898
2,3,89,15912
1,93,367,26
3,45389,1712,20510
1,4810,1568,127
3,9,1,5239
78,11,727,33106
1,6,1,17334
1,2074,3,69
1,1,820,57111
2,853,333,21617
2,2,11,79780
3,11,719,45
812,1,66,2024
3,5,6,19
1,57,24,17077
10,1,354,1
49,91,109,1778
1,8,5,2
9,18,2,41037
1,65,1,52460
46,23,1994,195
3,2,671,194
561,1,32,112004
1,1797,659,543
3,32,31,9677
2,1,89,2403
161,9,1,42651
28,306,5,6381
6,7672,4,21783
5,643,1645,25523
1,104,6,1109
3,3,81,242188
8,97,12,194
4,55,671,51
48,2623,89,10254
1,17,1569,87408
2,1,672,29157
3,4,1566,28
8,908,367,22949
7,5758,39,7308
31,13538,368,20901
54,1,23,33
78,2,1,46211
1,1,367,42377
172,4,2,63205
16,1,3,3123
54,14,18,8575
1,44,89,4
1,1893,3,322
1,12029,13,42186
829,7513,320,6550
3,4,1,48
3,3,1,15601
812,7,176,5257
4,1650,363,47238
3,19,1,785
5,10,1317,48459
1,37,7,6430
11,4,671,47238
8,8,31,19768
54,1,367,14
4,20,2,12460
1,18,501,5
14,169,367,10
1,47,3,55707
1,1,652,7238
7,134,550,472
6,21,1,21248
2,114877,89,49722
7,748126,1,18489
1,1299,819,194
1,658,1648,10661
26,5,1,143
1,6642,367,33528
861,6,1664,56
13,3,363,21853
29,2,1,6085
1,214,1147,4205
3,13,7,12233
1,3,25,2444
1,1050,3,242903
1,19,154,64467
3,1638439,3,27448
1,681,1568,290
6,271,1,195
3,82,89,21758
30,35,3,6936
2,1,14,59928
206,3,671,31051
1,626,367,10158
1,228,121,128
5,17,68,1
812,2,19,2124
3,170,1,3
82,3719,354,21651
565,2,1577,34839
1,25,3090,21248
4,755,28,48
1,15,323,32805
4,343,1556,3760
1,4,1568,6341
2,251,11,63601
243,782,1171,23206
4,1,323,21557
1,14,1568,46
3,1222,12,15144
1,722,3,48
28,9,3,29653
3,181,1440,22791
1,14,89,48262
1,4384,1374,17241
3,140,89,23426
31,22,3,2935
4,127,1450,1
31,4,88,9402
1,2,19,1463
1,38223637,19,1516
2,7905,4,8
1,376,354,21248
2,15,671,52985
5,13,11,26977
1,1836,1665,78045
14,1454,25,2480
565,108,212,50518
1,4,49,139
1,135,16,9515
6,1312,1677,17907
2,2,367,113126
1,91,367,61037
1,1,13,47802
1,3,1010,1744
5,3,2,12995
127,1,1,4986
1,4,968,32568
1,1523,8,133640
1,18,32,649
12,450,148,18169
2,6,4,22864
4,6507,54,1375
1,11,278,1650
12,58,12,195
4,6,16,42
2,1,1,21
3,14,387,20721
2,77,138,4485
15,2,727,187
13,3,3,100848
1,54339,25,48
1,94,89,16591
4,3,1300,1382
2,4,176,65397
1,7,354,44787
6,2,5,994
5,1,2,142
1,3702,363,20387
3,234,12,44954
1,324,321,1638
5,20,79,20856
2,340,2,13463
1,35,1,199
30,1,668,2
1,1,1,6381
1,2,354,70313
4,978,1568,33810
1,2,2,15435
1,12,367,16563
6,6,1,6775
32,11348,2,48
9,986,236,2559
185,129,656,19802
14,4,1,17281
35,65,367,7123
2,1,1,2968
5,2401,340,23845
1,19,1300,14213
186,5,139,3454
1,15,89,142584
8,1,176,48
1,1012,4,48
1,722,651,5723
11,680,79,22791
1,2,1315,183
5,4,5577,27908
19,59238,32,20488
814,163,1472,243
9,2250,846,33529
1,1,25,25399
2,64,367,22195
1,4097,1568,33390
15,2,28,30400
1,5,11,6375
10,74,12,56817
812,11826,26,61467
2,9,1524,29020
565,2,2,38689
5,141,3,1945
1,1,1118,14336
1,21,354,155
2,2,363,26
1,18,320,128
9,216,1001,21222
79,2,18,1237
1,87,367,1701
2,1,380,785
3,233,367,98289
9,116643,50,21890
3,185,1,16063
4,427776,25,873
4,57742,9,21248
812,1,86,32568
3,478,3,374
1,8,1,1
2,10933,367,303
812,8,1659,11483
1,3702,25,990
7,7,198,64295
2,472,148,51716
6,982,3,56
2,145,1568,16357
7,20,4,22097
1,194,1,48
5,2,354,26152
6,611,11,33908
1,62,1,1
4,63,653,4495
343,66,3,1
4,12,340,86632
1,23,2,9
1,20816,12,4
1,9,1576,1916
1,12,764,16935
2,12,1658,14381
6,37,1300,206
7,2,108,155
1,48,2,284
3,4,21,21545
1,6313,66,48
16,17,109,22
4,1,3,22687
4,21711,1568,12331
565,105,1,22266
812,66034,367,24
3,63409,671,13912
1,366,2,34262
16,26,31,20901
48,4824,100,945
721,1594,56,4
1,84,341,1
1,3059,354,32919
813,563,11,2519
5,5,368,7013
77,16,4,21282
2,2,321,15221
1,55,3,3020
1,4,671,1
11,120,651,66734
5,158,1300,951
3,80,89,1245
1,84,25,4335
54,33,80,22205
4,3,10,194
1,225,3,21248
3,20,1,1
2,86049,892,21412
1,1,5,46591
4,1,1568,19627
2,556,25,10720
812,3,12,6
5,225,138,984
4,5,327,49
29,1,9,34348
1,184617,1,41129
1,470,367,30686
6,9,1579,3592
36,7699,720,75183
1,2,1549,20095
2,1088,1707,2768
9,23,1032,65465
2,28,114,12580
3,21,688,80464
1,14,25,32692
39,1,367,4
1,137,1,39423
2,1,354,46428
60,1,11,910
36,3636,1568,3990
1,869,354,4960
475,622,1300,879
1,1,19,6688
4,496,191,1
1,3,741,15593
4,16,2,22187
2,2,89,72333
1,65,1456,40047
4,44,25,4
2,258,148,20807
812,6708,18,17217
7,12,59,11805
2,4,1248,18702
1,2,4,1
21,28,1073,3751
6,9859,354,76209
1,119,9,225
6,2,1315,32530
31,52,1677,16139
1,1,3160,108906
2,1,320,6346
814,11,22,10190
3,6,1,10075
12,4,1,1
1,86414,175,1
104,15,3,108
1,303,1,2785
565,6064,148,1
9,51169,1457,6111
2,5,34,48
2,36,2,3694
1,85,2,24206
380,17,1300,81069
9,32,716,14669
1,699,89,129
3,1,27,20900
2,5,3,32568
1,17,4,32568
6,49,17,49
1,257,6,7946
24,6,1585,24254
565,1842,154,10150
2,2,1,14636
2,3,657,1516
1,681,214,10
3,6,1317,33033
1,8,363,7703
1,95,3,16978
156,3,5,30784
812,169,19,21398
4,1,340,194
21,27,1263,21248
3,15,1,8121
1,74,12,3756
2,84,1583,2
577,1,3,155
31,5,31,73524
476,1433,1,242
16,6,89,60983
1,811,1,175709
