SD,SE,ND,NE
92.3076923,12.24489796,16.98113208,31.57894737
6.1946903,21.05263158,4.04040404,60
26.9230769,15.09433962,66.66666667,28.57142857
36.8421053,17.24137931,34.7826087,8.163265306
75,33.33333333,15.625,10.14492754
25,40,40,5.434782609
3.2432432,8.888888889,9.523809524,14.28571429
19.4444444,36.36363636,5.673758865,33.33333333
9.3457944,7.142857143,65,33.33333333
15.3846154,5.194805195,15.09433962,31.57894737
45.4545455,50,9.473684211,23.52941176
8.75,21.73913043,25,12.85714286
83.3333333,40,16.32653061,24
20,45.45454545,15.06849315,6.41025641
77.7777778,3.773584906,17.39130435,33.33333333
17.5,83.33333333,66.66666667,6.944444444
87.5,11.11111111,6.557377049,12.5
14.7058824,50,21.05263158,72.72727273
75,5.504587156,32.14285714,40
7.5471698,42.85714286,23.52941176,20
14.3884892,15.38461538,36,33.33333333
10.7692308,25,50,21.73913043
13.4615385,66.66666667,15.38461538,19.04761905
5.2631579,19.35483871,11.27819549,29.41176471
33.3333333,11.76470588,29.62962963,4.375
6.0869565,20,11.58536585,22.72727273
4.2682927,15.15151515,35.29411765,5.714285714
9.3333333,66.66666667,24,16.66666667
36.8421053,10.52631579,6.369426752,58.33333333
26.0869565,60,7.03125,8.888888889
22.2222222,12.19512195,14.81481481,16.12903226
10.6382979,55.55555556,8.791208791,26.08695652
5.3191489,8.163265306,69.23076923,33.33333333
77.7777778,44.44444444,42.85714286,41.66666667
63.6363636,36.36363636,36,40
55.5555556,40,47.05882353,4.761904762
34.4827586,11.42857143,53.33333333,10.44776119
41.1764706,66.66666667,23.68421053,13.33333333
20,12,4.733727811,15.2173913
75,53.84615385,47.05882353,4.237288136
6.25,6.153846154,18.75,19.23076923
13.5135135,15.625,23.52941176,40
31.8181818,36.36363636,24.32432432,8.823529412
7.4074074,26.66666667,17.77777778,17.39130435
6.4516129,2.212389381,25.92592593,12.96296296
17.6470588,28.57142857,68.8172043,33.33333333
68.75,20,8.163265306,9.87654321
35.7142857,44.44444444,40,35.29411765
30.4347826,21.42857143,52.63157895,22.5
19.2307692,33.33333333,20.51282051,2.192982456
14.2857143,40,15.09433962,33.33333333
9.8591549,24,14.03508772,26.66666667
81.25,35.29411765,9.473684211,25
11.3636364,33.33333333,18.18181818,7.8125
40,55.55555556,56.25,11.76470588
35.2941176,30.76923077,4.265402844,18.51851852
24.137931,4.494382022,44.18604651,4
18,55.55555556,36.36363636,8
2.3696682,3.968253968,16,10
4.3103448,33.33333333,31.03448276,37.20930233
35.7142857,18.18181818,5.970149254,26.66666667
16.2790698,31.25,14.81481481,14.28571429
7.3529412,44.44444444,80,7.692307692
55.5555556,89.47368421,14.81481481,8.974358974
35,4.137931034,42.10526316,4.651162791
4.5801527,18.51851852,1.735357918,4.938271605
33.3333333,33.33333333,23.52941176,5.633802817
42.8571429,29.41176471,23.07692308,23.33333333
14,31.81818182,13.1147541,5.555555556
5.46875,16.66666667,52.94117647,30.76923077
91.6666667,14.28571429,9.302325581,5.434782609
7.9545455,20,7.843137255,8
4.9019608,55.55555556,53.33333333,17.39130435
27.027027,66.66666667,22.22222222,10
25,22.22222222,18.60465116,25
43.75,7.692307692,6.50887574,8
4.1666667,33.33333333,42.10526316,7.272727273
18.9349112,44.44444444,17.64705882,6.060606061
12.8205128,31.25,14.92537313,33.33333333
2.3166023,41.66666667,3.861003861,60
3.6585366,40,78.57142857,14.28571429
45.4545455,10.52631579,34.48275862,20.83333333
43.4782609,25,27.02702703,54.54545455
8.7719298,44.44444444,12.79069767,6.849315068
28,17.64705882,19.14893617,73.33333333
38.4615385,33.33333333,6.081081081,7.843137255
41.6666667,27.77777778,42.10526316,10
33.3333333,1.877934272,6.315789474,50
12.2807018,20,36.36363636,46.15384615
33.3333333,7.8125,5.298013245,28.57142857
14.2857143,2.564102564,47.05882353,4.444444444
9.8591549,21.42857143,15.38461538,4.8
27.7777778,50,26.66666667,13.46153846
27.2727273,5.882352941,28.07017544,57.14285714
17.7777778,11.36363636,7.368421053,0.950118765
13.9534884,31.25,16.66666667,33.33333333
29.4117647,21.05263158,17.54385965,68.42105263
6.4102564,35.71428571,33.33333333,45
17.1428571,6.896551724,10,44.44444444
11.1111111,5.882352941,35,50
43.4782609,10,23.40425532,35.71428571
3.8674033,33.33333333,45.83333333,19.04761905
50,57.14285714,25.80645161,8.235294118
50,31.25,17.54385965,45.45454545
3.2110092,26.66666667,10.95890411,8.536585366
14.2857143,8.928571429,19.64285714,35.29411765
17.9487179,40,39.28571429,7.317073171
9.0909091,38.46153846,12.04819277,28.57142857
3.2432432,40,42.10526316,8.955223881
8.1395349,8.695652174,12.64367816,9.523809524
