SD,SE,ND,NE
24,6,9,6
7,4,8,6
7,8,10,4
7,5,8,4
9,4,10,7
7,4,8,5
6,4,8,4
7,4,8,4
10,6,26,6
10,4,8,6
5,4,9,8
7,5,9,9
5,4,8,18
5,5,11,5
7,4,12,4
7,5,8,5
14,4,8,4
5,6,8,8
6,6,9,4
8,6,8,4
20,4,9,5
7,5,8,5
7,6,8,4
7,6,15,5
5,4,8,7
7,4,19,5
7,5,12,4
7,6,18,4
7,4,10,7
6,6,9,4
6,5,12,5
5,5,8,6
5,4,9,6
7,4,9,5
7,4,9,4
5,4,8,5
10,4,8,7
7,4,9,4
10,6,8,7
6,7,8,5
6,4,18,5
10,5,8,4
7,4,9,6
6,4,8,4
6,5,21,7
6,4,64,4
11,4,12,8
10,4,8,6
7,6,10,9
5,4,8,5
7,6,8,5
7,6,8,4
13,6,9,7
5,4,8,5
10,5,9,4
6,4,9,5
7,4,19,4
9,5,8,4
5,5,8,4
5,6,9,16
10,6,8,4
7,5,8,4
5,4,12,4
5,17,12,7
7,6,8,4
6,5,8,4
5,4,8,4
6,5,9,7
7,7,8,5
7,6,9,4
11,4,8,5
7,4,8,6
5,5,8,4
10,4,10,7
7,4,8,6
7,4,11,4
5,4,8,4
32,4,9,4
5,5,10,4
6,5,10,6
6,4,11,6
5,4,10,10
10,6,10,6
5,4,11,5
7,6,9,11
5,4,9,4
5,5,24,4
6,4,12,5
7,4,8,6
6,5,8,4
10,5,8,4
7,6,8,12
5,5,8,7
6,4,16,4
8,5,7,4
6,5,12,4
5,4,10,13
5,5,10,9
6,4,8,4
10,4,7,15
10,4,11,5
7,4,11,4
5,4,8,7
10,5,10,5
7,4,8,7
6,5,11,6
7,6,11,6
5,5,10,4
6,4,8,6
7,4,11,4
5,4,8,4
5,4,8,4
10,5,9,4
5,6,11,4
5,4,8,5
6,5,9,5
7,6,8,4
6,6,9,4
18,4,15,6
10,5,8,7
5,6,9,5
5,5,9,8
6,6,10,10
5,6,8,6
5,4,8,4
5,4,8,5
6,4,8,6
11,4,9,4
6,4,9,9
6,4,9,6
10,5,10,6
5,4,8,5
7,6,8,4
5,5,9,7
7,4,13,5
7,4,8,4
9,5,8,4
5,4,9,4
6,5,9,5
9,4,8,4
7,4,9,4
5,4,8,6
10,4,15,5
8,4,8,4
7,5,8,6
13,5,9,4
6,5,8,4
6,4,9,4
7,8,9,5
7,4,8,4
14,6,8,4
5,4,13,5
6,5,8,8
7,6,9,4
6,4,12,8
10,4,15,5
5,5,47,5
10,4,8,7
7,4,16,4
7,6,12,7
8,4,10,4
7,5,8,4
9,5,12,5
5,5,8,5
6,4,8,5
24,5,8,4
6,4,13,8
5,5,8,9
6,4,26,4
6,4,15,5
33,4,16,5
5,4,8,5
7,5,9,5
9,4,8,9
16,5,8,4
6,5,8,4
7,5,8,7
5,5,9,4
6,4,8,5
5,5,8,6
5,4,8,6
7,5,9,7
8,5,8,8
7,6,9,4
6,4,8,4
5,6,8,6
11,5,8,4
10,5,14,4
11,4,9,5
6,4,11,6
6,5,7,4
9,4,8,6
8,7,9,4
7,4,25,6
10,4,12,5
7,5,9,5
5,5,8,4
10,4,8,5
7,5,11,5
7,4,8,7
6,4,8,7
5,4,9,7
5,4,10,5
5,4,8,16
6,6,9,5
10,4,8,4
6,4,8,4
7,5,8,6
5,7,8,6
7,5,8,6
6,4,8,5
7,4,11,5
7,6,8,4
9,4,8,4
7,4,8,6
7,6,15,6
7,5,8,6
11,4,14,4
7,7,11,4
7,6,9,6
14,5,11,5
5,4,10,4
11,4,11,6
9,4,8,4
5,5,7,6
5,6,11,4
7,4,8,6
6,4,11,4
5,4,9,5
8,8,9,4
10,5,8,5
7,4,9,8
7,6,12,4
5,6,8,4
5,4,7,4
7,5,11,8
10,4,14,7
5,5,8,4
9,4,16,5
7,6,9,5
7,6,12,4
5,4,9,8
5,4,8,5
6,6,9,5
6,4,8,4
7,4,8,10
10,4,14,4
10,5,14,5
8,5,8,6
10,5,8,7
10,5,15,4
7,5,22,6
7,4,8,7
8,4,11,4
10,4,7,4
49,4,9,6
10,6,8,4
8,5,8,4
7,6,11,6
10,6,23,6
5,4,12,5
5,4,8,4
5,4,9,4
7,5,8,4
5,4,9,5
5,4,10,8
10,5,9,16
7,5,8,4
8,4,8,5
6,4,10,8
21,4,12,4
5,7,8,4
12,4,14,5
10,4,9,4
7,4,7,5
7,6,9,4
7,4,8,6
7,6,8,7
10,5,8,6
12,6,8,4
7,4,7,6
10,4,7,4
5,5,8,10
5,5,11,7
6,4,13,4
6,5,8,5
10,4,8,6
7,4,8,6
5,4,9,6
5,4,12,4
6,4,8,8
5,4,11,4
9,5,8,5
5,4,7,4
15,4,8,4
5,5,13,4
6,6,13,5
7,7,8,5
7,4,8,6
10,5,8,4
6,5,9,5
5,5,8,5
6,6,9,4
5,4,8,5
7,5,8,6
5,5,8,6
7,4,16,4
5,4,39,4
6,4,11,6
5,4,8,4
6,6,8,9
15,6,15,4
5,4,8,4
10,5,10,4
5,4,8,5
7,4,10,5
15,5,11,4
10,5,8,4
6,4,10,15
8,4,9,4
10,4,10,5
7,4,11,6
7,5,8,4
7,5,8,8
6,4,11,4
7,4,33,5
7,6,15,4
6,4,8,5
7,5,9,4
7,5,10,7
7,5,9,4
5,5,16,8
7,6,10,4
6,4,8,5
6,4,11,4
6,4,8,4
5,5,9,6
5,7,11,4
7,5,8,7
10,4,8,7
6,6,10,4
5,4,8,6
5,6,8,8
7,5,9,5
6,5,12,4
5,6,9,4
10,4,13,4
5,4,8,5
6,5,9,6
7,8,13,5
7,5,8,4
6,6,9,6
13,5,8,10
7,5,8,5
10,4,8,9
6,4,8,6
7,5,8,4
10,6,11,6
10,5,7,10
7,5,9,6
7,5,8,7
5,4,8,4
6,5,9,5
6,5,20,4
7,5,8,4
10,5,10,4
8,4,8,4
10,5,8,4
10,6,11,4
7,6,15,4
7,5,10,6
16,6,8,4
7,4,9,10
8,5,9,7
5,4,8,4
9,4,13,6
6,6,8,4
