"Timestamp","How long have you been working on developing software?","How frequently do or did you answer questions on Stack Overflow?","How frequently do or did you include code snippets in your answers on Stack Overflow?","Where did the code snippets in your answers come from? [I copied them from my own personal projects.]","Where did the code snippets in your answers come from? [I copied them from my company's projects.]","Where did the code snippets in your answers come from? [I copied them from open source projects.]","Where did the code snippets in your answers come from? [I wrote the new code from scratch.]","Where did the code snippets in your answers come from? [I copied the code from the question and modified it for the answer.]","Where did the code snippets in your answers come from? [Others]","Were you aware, at the time of copying the code, that Stack Overflow apply Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) to content in the posts, including code snippets?","Do you usually include a software license in your code snippets on Stack Overflow?","How frequently did you check the software license of the code snippets you copy to Stack Overflow if they conflict with Stack Overflow's CC BY-SA 3.0 license?","Outdated code occurs when code snippets in your answers are no longer up-to-date with the latest version of the software you copied the code from. Have you ever been notified of outdated code in your Stack Overflow answers? ","How frequently were you notified of outdated or deprecated code in your Stack Overflow answers?","How frequently did you fix your outdated code on Stack Overflow?","Do you have any other concerns regarding answering Stack Overflow with code snippets?"
"2017/07/26 4:25:51 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Rarely","Never","Occasionally","Frequently","Very frequently","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/26 4:33:07 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very frequently","Never","Very rarely","Very frequently","Very frequently","Rarely","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 4:34:48 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Very rarely","Never","Very rarely","Very frequently","Very frequently","Never","Yes","No.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/26 4:42:38 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Frequently","Never","Occasionally","Very frequently","Very frequently","Frequently","Yes","No.","Never (0% of the time)","Yes","Occasionally (41--60% of my answers)","Occasionally (41--60% of the cases)","Sometimes you have to post code from official documentation, like in case of C#, code form MSDN is posted in the answer with added explanation. "
"2017/07/26 4:59:03 PM GMT+1","5 - 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Frequently","Very rarely","Never","Very frequently","Occasionally","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/26 5:05:12 PM GMT+1","More than 10 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Occasionally","Never","Occasionally","Very frequently","Very frequently","Never","Yes","No.","Very Frequently (81--100% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 5:09:22 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Very rarely","Never","Never","Very frequently","Very frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 5:20:12 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Frequently","Never","Very rarely","Frequently","Very frequently","Frequently","Yes","No.","Very rarely (1--20% of the time)","No","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","Not really.  "
"2017/07/26 5:22:49 PM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Very rarely","Occasionally","Very frequently","Very frequently","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/26 5:33:20 PM GMT+1","More than 10 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Occasionally","Never","Frequently","Occasionally","Very frequently","Very rarely","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/26 5:37:29 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Occasionally","Rarely","Never","Frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/26 5:50:36 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Frequently","Never","Frequently","Frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 5:52:08 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Frequently","Rarely","Very rarely","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/26 6:00:08 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Occasionally","Never","Never","Very frequently","Occasionally","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/26 6:00:39 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Frequently","Occasionally","Rarely","Very frequently","Frequently","Very rarely","Yes","No.","Never (0% of the time)","Yes","Rarely (21--40% of my answers)","Frequently (61--80% of the cases)","Snippets on so are usually for demonstrating a technique and therefore age well. If otherwise, I usually made them a gist, codebin or jsfiddle. "
"2017/07/26 6:13:12 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Rarely","Occasionally","Very frequently","Very rarely","Occasionally","Yes","No.","Very Frequently (81--100% of the time)","Yes","Rarely (21--40% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/26 6:13:29 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Rarely (21--40% of the time)","Frequently","Never","Never","Occasionally","Rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 6:24:29 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Never","Rarely","Very rarely","Very frequently","Very frequently","Never","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/26 6:33:45 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Never","Never","Never","Very frequently","Frequently","Never","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","No."
"2017/07/26 6:39:35 PM GMT+1","More than 10 years","Very Frequently (every day)","Rarely (21--40% of the time)","Never","Never","Never","Very frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","The real issue is less about the amount the code snippets on SO than it is about the staggeringly high number of software ""professionals"" that mindlessly use them without understanding what they're copying, and the only slightly less high number of would-be professionals that post snippets with built-in security issues.

A related topic is beginners who post (at times dangerously) misleading tutorials online on topics they actually know very little about. Think php/mysql tutorials written 10+ years after mysql_* functions were obsolete, or the recent regex tutorial that got posted the other day on HackerNew (https://news.ycombinator.com/item?id=14846506). They're also full of toxic code snippets."
"2017/07/26 7:35:49 PM GMT+1","5 - 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Never","Never","Never","Very frequently","Never","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Rarely (21--40% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/26 8:39:23 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Rarely (21--40% of the time)","Very frequently","Never","Occasionally","Occasionally","Very rarely","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/26 8:46:27 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Very rarely","Never","Very rarely","Frequently","Very frequently","Never","No","No.","Frequently (61--80% of the time)","Yes","Rarely (21--40% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/26 9:59:45 PM GMT+1","3 - 5 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Never","Never","Never","Very frequently","Frequently","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/26 10:01:14 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Frequently","Very rarely","Rarely","Very frequently","Very frequently","Rarely","Yes","No.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","Just to say: the reason that I very rarely check the license status is that the code I am posting is almost always my own or adapted from the question, or imported from an open source project that I have worked on and already know the license terms, or from my own company code that I can 100% say it is OK to post in public because I know our policies."
"2017/07/26 10:46:52 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Never","Never","Never","Very frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 11:23:40 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Very rarely","Never","Never","Occasionally","Very frequently","Occasionally","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/26 11:23:50 PM GMT+1","5 - 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Occasionally","Never","Very rarely","Very frequently","Rarely","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/26 11:42:30 PM GMT+1","5 - 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Frequently","Very rarely","Occasionally","Very frequently","Frequently","Never","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/26 11:50:00 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Frequently","Frequently","Frequently","Frequently","Frequently","Rarely","Yes","No.","Frequently (61--80% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 12:22:05 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Very rarely","Never","Very rarely","Very frequently","Very frequently","Very rarely","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 12:28:07 AM GMT+1","5 - 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Rarely","Very rarely","Very rarely","Very frequently","Very frequently","Never","Yes","No.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 12:59:27 AM GMT+1","3 - 5 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Rarely","Never","Never","Very frequently","Very frequently","Never","Yes","No.","Frequently (61--80% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 1:12:04 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Occasionally (41--60% of the time)","Rarely","Very rarely","Very rarely","Frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/27 1:51:13 AM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Never","Never","Never","Very frequently","Never","Very rarely","Yes","No.","Never (0% of the time)","Yes","Frequently (61--80% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 4:59:34 AM GMT+1","More than 10 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Frequently","Never","Frequently","Very frequently","Very frequently","Very frequently","Yes","Yes, in a text surrounding the source code.","Occasionally (41--60% of the time)","No","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 7:59:48 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Never","Never","Never","Very frequently","Very frequently","Rarely","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 8:14:20 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Never","Never","Never","Very frequently","Rarely","Never","No","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 8:50:42 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Occasionally (41--60% of the time)","Very rarely","Never","Very rarely","Frequently","Frequently","Occasionally","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/27 10:34:03 AM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Rarely","Rarely","Occasionally","Frequently","Very rarely","No","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/27 11:13:08 AM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Rarely","Very rarely","Very frequently","Very frequently","Occasionally","Yes","No.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 11:16:52 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Frequently","Never","Very rarely","Frequently","Very rarely","Very rarely","Yes","No.","Occasionally (41--60% of the time)","Yes","Rarely (21--40% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 2:36:20 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Rarely (1--20% of the time)","Occasionally","Rarely","Very rarely","Very rarely","Frequently","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","No. Code snippets are short and small enough that no IP can be in them."
