Used, Number of Fragments
1,139
2,60
3,37
4,47
5,48
6,23
7,22
8,4
9,6
10,57
11,4
12,2
13,5
14,39
16,2
17,34
18,90
19,3
20,3
22,3
23,6
24,1
25,1
26,3
27,3
28,2
30,1
32,3
33,1
34,2
35,1
36,12
40,1
41,1
51,1
54,7
56,2
57,2
60,2
64,2
66,8
67,2
68,7
69,4
70,1
74,2
75,3
77,1
78,1
79,4
80,2
83,2
84,1
86,1
98,3
100,1
103,1
111,1
119,1
120,5
122,3
125,4
130,1
139,11
140,2
141,5
143,1
148,2
151,1
156,2
159,1
170,1
178,4
179,1
184,2
191,1
193,2
198,1
199,1
200,1
205,2
219,1
221,1
224,1
225,1
229,1
233,1
235,2
236,1
239,23
243,1
254,1
261,5
264,7
265,1
271,1
275,1
280,1
281,1
295,1
296,1
301,1
308,8
309,1
313,4
314,1
315,1
340,1
343,1
365,2
369,3
371,2
373,1
375,1
384,3
385,1
389,1
398,36
399,3
400,2
401,1
402,1
407,1
408,5
409,1
412,1
413,1
416,1
417,2
423,1
427,2
430,1
431,11
432,4
433,1
435,4
436,1
448,1
460,1
464,1
510,3
549,1
616,1
639,1
647,1
699,1
701,1
738,2
746,1
770,1
819,1
822,2
830,1
864,2
872,1
926,1
1020,1
1097,9
1263,1
1816,1
