fragment, used, inprojects, sloc, usedsloc, percent
3952082_0.java,103950,717,67,4,0.05970149253731343
13131561_0.java,103950,717,53,4,0.07547169811320754
9078010_0.java,630882,1628,139,5,0.03597122302158273
3164907_0.java,315441,1628,22,4,0.18181818181818182
13180225_1.java,415800,717,107,4,0.037383177570093455
20090818_1.java,103950,717,14,4,0.2857142857142857
15030603_0.java,315441,1628,84,5,0.05952380952380952
15495053_0.java,315441,1628,28,4,0.14285714285714285
6588193_0.java,126,1,42,8,0.19047619047619047
24177339_0.java,103950,717,49,4,0.08163265306122448
23855386_0.java,103950,717,15,4,0.26666666666666666
20270655_0.java,958860,1653,71,4,0.056338028169014086
13121724_0.java,103950,717,92,5,0.05434782608695652
18156294_0.java,103950,717,28,4,0.14285714285714285
14954172_1.java,103950,717,12,4,0.3333333333333333
16944318_2.java,12537,104,19,6,0.3157894736842105
14290425_0.java,12537,104,34,8,0.23529411764705882
13772645_0.java,103950,717,28,4,0.14285714285714285
21421254_1.java,419391,1889,78,5,0.0641025641025641
15825215_1.java,103950,717,16,4,0.25
20358324_0.java,103950,717,121,4,0.03305785123966942
9572105_0.java,315441,1628,12,4,0.3333333333333333
14272351_0.java,103950,717,72,5,0.06944444444444445
16666953_0.java,315567,1628,32,4,0.125
23290233_0.java,12537,104,11,8,0.7272727272727273
18812575_0.java,315441,1628,34,4,0.11764705882352941
9167223_0.java,6363,59,78,8,0.10256410256410256
18018862_0.java,103950,717,20,4,0.2
10469267_0.java,946323,1628,62,4,0.06451612903225806
3614787_0.java,419391,1889,15,5,0.3333333333333333
15401986_0.java,103950,717,21,4,0.19047619047619047
3943107_0.java,315441,1628,15,4,0.26666666666666666
5215885_0.java,315441,1628,17,5,0.29411764705882354
15054348_0.java,103950,717,36,4,0.1111111111111111
16767496_0.java,419391,1889,22,5,0.22727272727272727
23042304_1.java,103950,717,70,4,0.05714285714285714
10664414_0.java,419391,1889,60,4,0.06666666666666667
18731827_0.java,12537,104,24,4,0.16666666666666666
25135451_0.java,315441,1628,37,4,0.10810810810810811
24338146_1.java,103950,717,31,4,0.12903225806451613
14164625_0.java,103950,717,45,4,0.08888888888888889
23692569_0.java,104202,717,68,4,0.058823529411764705
10346543_0.java,315441,1628,11,4,0.36363636363636365
10768314_2.java,315441,1628,31,5,0.16129032258064516
16902776_1.java,104013,717,23,4,0.17391304347826086
7681047_0.java,103950,717,20,4,0.2
22674888_0.java,519750,717,101,4,0.039603960396039604
20443251_1.java,103950,717,12,5,0.4166666666666667
12469058_0.java,103950,717,10,4,0.4
15776976_2.java,103950,717,105,5,0.047619047619047616
10612601_0.java,104013,717,49,5,0.10204081632653061
11112631_0.java,63,1,67,6,0.08955223880597014
16119617_0.java,942732,1889,118,5,0.0423728813559322
19834577_1.java,103950,717,10,4,0.4
5283123_0.java,315441,1628,23,4,0.17391304347826086
20116944_0.java,315441,1628,54,5,0.09259259259259259
3703749_3.java,315441,1628,12,4,0.3333333333333333
16624592_0.java,12537,104,81,8,0.09876543209876543
24366731_0.java,630882,1628,38,4,0.10526315789473684
