fragment, used, inprojects, sloc, usedsloc, percent
3952082_0.java,5868,3320,67,4,0.05970149253731343
9078010_0.java,267,139,139,6,0.04316546762589928
19782083_0.java,809,456,49,4,0.08163265306122448
3164907_0.java,4892,2335,22,4,0.18181818181818182
13180225_1.java,14665,3541,107,4,0.037383177570093455
20090818_1.java,4369,2449,14,4,0.2857142857142857
2658663_0.java,57,40,64,7,0.109375
15030603_0.java,612,203,84,8,0.09523809523809523
24177339_0.java,7434,3830,49,4,0.08163265306122448
12707482_0.java,3044,1707,250,12,0.048
16361198_0.java,1986,1058,69,7,0.10144927536231885
20270655_0.java,7630,3478,71,4,0.056338028169014086
13121724_0.java,6016,3388,92,5,0.05434782608695652
18156294_0.java,5959,3376,28,4,0.14285714285714285
14954172_1.java,5959,3376,12,4,0.3333333333333333
16944318_2.java,1985,1058,19,6,0.3157894736842105
14290425_0.java,1387,714,34,8,0.23529411764705882
23547762_0.java,4555,2231,15,7,0.4666666666666667
3749663_0.java,2541,1167,26,4,0.15384615384615385
21844803_0.java,2919,1090,70,9,0.12857142857142856
24772546_0.java,197,81,75,5,0.06666666666666667
21421254_1.java,10768,4871,78,5,0.0641025641025641
20358324_0.java,6,1,121,5,0.04132231404958678
14272351_0.java,5960,3377,72,5,0.06944444444444445
16666953_0.java,5893,2817,32,4,0.125
25815551_1.java,1743,818,10,4,0.4
18812575_0.java,5982,2809,34,4,0.11764705882352941
21703449_1.java,26,23,81,7,0.08641975308641975
18018862_0.java,5959,3376,20,4,0.2
8770576_0.java,1033,543,53,8,0.1509433962264151
10035937_1.java,1743,818,18,8,0.4444444444444444
3614787_0.java,5978,3368,15,4,0.26666666666666666
10469267_0.java,12652,2503,62,4,0.06451612903225806
15401986_0.java,5849,3263,21,4,0.19047619047619047
3943107_0.java,5892,2816,15,4,0.26666666666666666
5215885_0.java,979,557,17,5,0.29411764705882354
15054348_0.java,5959,3376,36,5,0.1388888888888889
23042304_1.java,2875,1551,70,4,0.05714285714285714
16767496_0.java,92,77,22,5,0.22727272727272727
10664414_0.java,9489,4420,60,4,0.06666666666666667
18731827_0.java,2334,1235,24,4,0.16666666666666666
25135451_0.java,6080,2888,37,4,0.10810810810810811
14164625_0.java,4897,2692,45,4,0.08888888888888889
11285845_1.java,946,503,25,10,0.4
10346543_0.java,5981,2808,11,4,0.36363636363636365
10768314_2.java,5981,2808,31,5,0.16129032258064516
16902776_1.java,2277,1296,23,4,0.17391304347826086
14303119_1.java,157,114,21,7,0.3333333333333333
20443251_1.java,5959,3376,12,5,0.4166666666666667
12469058_0.java,5959,3376,10,4,0.4
15776976_2.java,2966,1574,105,5,0.047619047619047616
5639150_0.java,4783,2678,13,9,0.6923076923076923
17062674_4.java,4555,2231,13,8,0.6153846153846154
10612601_0.java,5959,3376,49,5,0.10204081632653061
15584725_0.java,2,2,67,5,0.07462686567164178
11112631_0.java,82,62,67,6,0.08955223880597014
16119617_0.java,6574,3424,118,6,0.05084745762711865
19834577_1.java,5959,3376,10,4,0.4
22143941_0.java,29,25,68,6,0.08823529411764706
5283123_0.java,5984,2810,23,4,0.17391304347826086
20116944_0.java,1,1,54,7,0.12962962962962962
3703749_3.java,5981,2808,12,4,0.3333333333333333
16624592_0.java,1985,1058,81,8,0.09876543209876543
24366731_0.java,11054,2625,38,4,0.10526315789473684
12685139_0.java,1985,1058,17,6,0.35294117647058826
13914445_0.java,7982,3936,40,5,0.125
8494610_1.java,246,100,24,5,0.20833333333333334
15234088_1.java,809,456,15,4,0.26666666666666666
2291299_0.java,1985,1058,14,6,0.42857142857142855
11553528_0.java,1986,1058,86,7,0.08139534883720931
19512866_0.java,10233,2567,41,4,0.0975609756097561
22127736_0.java,5377,2822,75,4,0.05333333333333334
24929103_0.java,5959,3376,19,4,0.21052631578947367
20650016_2.java,2585,1408,121,5,0.04132231404958678
17904091_0.java,95,68,29,4,0.13793103448275862
24396808_1.java,2179,1146,22,6,0.2727272727272727
20158750_0.java,1,1,39,5,0.1282051282051282
3740013_0.java,5959,3376,27,5,0.18518518518518517
17398548_0.java,5812,3300,27,6,0.2222222222222222
931410_1.java,9766,3103,100,4,0.04
11771585_0.java,2,2,20,5,0.25
16326393_0.java,5737,3228,95,7,0.07368421052631578
20437928_0.java,507,285,50,4,0.08
20489238_0.java,6080,2888,72,4,0.05555555555555555
13984390_0.java,86,66,57,6,0.10526315789473684
23628801_2.java,5845,2737,40,4,0.1
17480244_0.java,698,454,84,5,0.05952380952380952
25281518_1.java,4973,2700,18,8,0.4444444444444444
13580656_2.java,716,324,60,5,0.08333333333333333
12272813_0.java,4897,2692,43,4,0.09302325581395349
11550162_0.java,3129,1432,21,4,0.19047619047619047
15097795_3.java,5959,3376,28,4,0.14285714285714285
3385424_0.java,5743,3193,51,4,0.0784313725490196
19191187_0.java,92,77,48,5,0.10416666666666667
13347306_0.java,192,136,78,6,0.07692307692307693
24641728_0.java,979,557,17,5,0.29411764705882354
17747788_2.java,1204,480,81,4,0.04938271604938271
23126410_0.java,2334,1235,18,5,0.2777777777777778
25704432_1.java,2788,1292,9,5,0.5555555555555556
11067802_0.java,6205,3412,71,4,0.056338028169014086
7071998_0.java,57,40,30,7,0.23333333333333334
19922464_0.java,4202,2040,66,4,0.06060606060606061
16894040_0.java,6431,2373,109,5,0.045871559633027525
23713317_0.java,57,40,172,7,0.040697674418604654
9852059_1.java,86,66,77,6,0.07792207792207792
17819106_0.java,5959,3376,13,4,0.3076923076923077
