Used, Number of Fragments
1,151
2,67
3,42
4,61
5,32
6,20
7,62
8,2
9,14
10,5
11,40
12,1
13,2
15,22
16,2
17,20
18,88
19,6
20,3
21,6
22,9
23,7
24,1
25,8
27,2
28,3
29,1
32,1
36,2
41,6
43,1
45,1
51,8
52,2
53,6
54,4
55,1
57,2
59,2
60,2
63,1
65,1
66,2
68,1
71,1
72,3
76,1
78,2
79,3
81,1
86,12
87,3
88,5
90,2
93,8
94,1
95,3
97,4
101,1
102,1
104,2
114,1
118,4
119,2
127,2
128,1
129,2
137,2
139,1
149,1
151,1
152,1
154,1
155,1
157,22
160,2
161,5
162,11
164,1
176,7
177,1
180,5
187,1
191,1
207,1
211,1
212,1
216,1
219,9
220,1
222,4
223,1
226,1
235,2
236,4
237,1
238,2
240,2
242,1
247,2
250,5
251,2
255,1
262,38
263,3
264,4
266,2
267,1
269,5
270,2
271,2
272,1
278,1
280,1
283,2
286,11
287,1
288,6
290,4
291,2
314,5
348,1
