fragment, used, inprojects, sloc, usedsloc, percent,
11606698_0.java,1816,314,211,8,0.037914692,ok
61982_0.java,1263,283,461,9,0.019522777,ok
3660678_0.java,1097,162,94,8,0.085106383,ok
3507846_0.java,1097,162,73,8,0.109589041,ok
3798421_0.java,1097,162,134,8,0.059701493,ok
3073582_0.java,1097,162,102,8,0.078431373,ok
4059041_0.java,1097,162,137,8,0.058394161,ok
9027454_3.java,1097,162,137,8,0.058394161,ok
10617251_0.java,1097,162,137,8,0.058394161,ok
6104847_0.java,1097,162,137,8,0.058394161,ok
17089503_0.java,1097,162,137,8,0.058394161,ok
6520047_0.java,1020,314,52,8,0.153846154,ok
4647305_0.java,926,348,71,8,0.112676056,
18670004_1.java,872,291,80,8,0.1,
20646575_0.java,864,287,67,8,0.119402985,
10468315_0.java,864,288,45,8,0.177777778,
321243_0.java,830,262,41,9,0.219512195,
21161594_0.java,822,161,67,8,0.119402985,
20593873_0.java,822,161,58,8,0.137931034,
1213188_0.java,819,283,95,8,0.084210526,
11412365_0.java,770,251,61,8,0.131147541,
12819885_0.java,746,240,32,7,0.21875,
19624981_0.java,738,237,140,8,0.057142857,
20405866_0.java,738,236,40,8,0.2,
14332524_1.java,701,267,20,7,0.35,
3380175_0.java,699,264,49,8,0.163265306,
2423183_0.java,647,269,51,8,0.156862745,
24268908_0.java,639,270,53,8,0.150943396,
7490096_0.java,616,219,62,8,0.129032258,
5575424_0.java,549,162,48,8,0.166666667,
4982232_0.java,510,314,39,8,0.205128205,
5506007_0.java,510,314,59,8,0.13559322,
23955541_1.java,510,314,11,8,0.727272727,
21635486_0.java,464,262,66,8,0.121212121,
12812257_0.java,460,129,30,8,0.266666667,
16873592_0.java,448,152,191,9,0.047120419,
22898109_0.java,436,291,24,8,0.333333333,
4153095_0.java,435,288,31,8,0.258064516,
4216557_1.java,435,288,31,8,0.258064516,
5841690_0.java,435,288,35,8,0.228571429,
10468315_1.java,435,288,39,8,0.205128205,
23303261_0.java,433,288,40,8,0.2,
19105256_0.java,432,290,117,8,0.068376068,
18015077_0.java,432,290,26,8,0.307692308,
20123347_0.java,432,290,42,8,0.19047619,
23417665_0.java,432,290,62,8,0.129032258,
10099228_0.java,431,286,31,8,0.258064516,
18193348_0.java,431,286,102,8,0.078431373,
19802582_0.java,431,286,64,8,0.125,
16527460_0.java,431,286,63,8,0.126984127,
20422000_0.java,431,286,43,8,0.186046512,
17534070_1.java,431,286,15,8,0.533333333,
21247344_0.java,431,286,228,8,0.035087719,
23505496_0.java,431,286,78,8,0.102564103,
24079155_0.java,431,286,33,8,0.242424242,
24639004_0.java,431,286,347,8,0.023054755,
11640980_1.java,431,286,37,8,0.216216216,
8136632_0.java,430,250,43,8,0.186046512,
5190926_0.java,427,247,56,8,0.142857143,
12876277_0.java,427,247,40,8,0.2,
7094056_0.java,423,278,34,8,0.235294118,
25694838_4.java,417,264,89,9,0.101123596,
19784528_0.java,417,86,79,9,0.113924051,
15078043_0.java,416,280,138,8,0.057971014,
9741279_0.java,413,272,125,8,0.064,
4750181_0.java,412,271,15,8,0.533333333,
5595261_0.java,409,270,42,8,0.19047619,
23849305_0.java,408,269,48,8,0.166666667,
2392540_0.java,408,269,51,8,0.156862745,
3972590_0.java,408,269,53,8,0.150943396,
18806139_0.java,408,271,19,8,0.421052632,
14470545_0.java,408,269,142,8,0.056338028,
22141773_0.java,407,266,81,8,0.098765432,
16491917_0.java,402,266,48,8,0.166666667,
16364639_0.java,401,250,69,8,0.115942029,
22851562_1.java,400,264,22,8,0.363636364,
24168984_0.java,400,264,18,8,0.444444444,
20079304_0.java,399,263,113,8,0.07079646,
10901164_0.java,399,263,20,9,0.45,
10907832_0.java,399,263,21,9,0.428571429,
10592761_0.java,398,262,43,8,0.186046512,
25405853_0.java,398,262,23,8,0.347826087,
