fragment, used, inprojects, sloc, usedsloc, percent,
5066587_0.java,99687556,738,294,17,0.057823129,FALSE
19051537_0.java,11601218,732,88,16,0.181818182,FALSE
12505305_0.java,7837204,844,120,17,0.141666667,TRUE
17066408_0.java,6753889,5766,141,4,0.028368794,TRUE
17374461_0.java,4199668,712,120,6,0.05,TRUE
17342297_0.java,4014317,1306,194,4,0.020618557,TRUE
13971985_3.java,3958047,6060,308,4,0.012987013,
16327677_0.java,3743283,731,60,16,0.266666667,
23239689_0.java,2785218,5782,44,4,0.090909091,
21497448_0.java,2620447,1469,284,4,0.014084507,
12135451_0.java,2519899,6091,174,4,0.022988506,
8200818_0.java,2518218,5883,61,4,0.06557377,
18877151_0.java,2225169,734,43,16,0.372093023,
13889187_1.java,2172641,708,34,17,0.5,
3215448_0.java,1984876,734,58,16,0.275862069,
25703453_0.java,1984874,734,34,16,0.470588235,
25018225_0.java,1709704,5349,132,4,0.03030303,
6153182_1.java,1614822,6816,502,4,0.007968127,
7632756_2.java,1254265,3319,121,6,0.049586777,
15144645_0.java,1246370,5331,43,4,0.093023256,
23881790_0.java,1245203,5691,187,4,0.021390374,
19350182_0.java,1233684,1575,570,4,0.007017544,
10012058_0.java,1041557,8392,137,4,0.02919708,
18085208_1.java,937553,6048,120,4,0.033333333,
17506117_0.java,911933,8548,98,6,0.06122449,
18474585_0.java,909067,738,46,17,0.369565217,
10477934_1.java,904162,8634,128,4,0.03125,
8518670_0.java,902306,8155,67,4,0.059701493,
20941734_1.java,899231,7918,73,4,0.054794521,
9600268_1.java,859592,5119,140,4,0.028571429,
25608771_0.java,848536,5883,234,4,0.017094017,
6133827_0.java,820540,5057,348,4,0.011494253,
17758937_0.java,753993,5351,44,4,0.090909091,
22134580_3.java,750669,9770,190,6,0.031578947,
14693840_1.java,748637,8155,60,4,0.066666667,
19700347_0.java,740161,8406,141,4,0.028368794,
17157442_0.java,737427,1019,244,4,0.016393443,
10965335_0.java,734271,4875,156,4,0.025641026,
10451793_1.java,731942,5006,291,4,0.013745704,
21481701_1.java,731373,4851,19,4,0.210526316,
10451793_0.java,716360,8824,72,4,0.055555556,
5233710_0.java,702427,4868,108,4,0.037037037,
22583073_0.java,665069,700,344,4,0.011627907,
18852706_0.java,658146,5838,58,4,0.068965517,
18206360_0.java,655573,5705,56,4,0.071428571,
25091144_1.java,651848,5274,26,4,0.153846154,
13092144_0.java,651461,5207,98,4,0.040816327,
5917935_0.java,648954,4872,30,4,0.133333333,
21349645_0.java,632322,5786,396,4,0.01010101,
22520892_0.java,630949,957,148,17,0.114864865,
12488390_0.java,619790,3941,56,6,0.107142857,
24912895_0.java,601974,8155,54,4,0.074074074,
17801815_0.java,599881,767,126,5,0.03968254,
24781239_0.java,599431,8023,99,4,0.04040404,
16231837_0.java,581299,9757,85,6,0.070588235,
12218663_0.java,580831,7733,75,6,0.08,
