fragment, used, inprojects, sloc, usedsloc, percent
17375942_0.java,250,63,16,5,0.3125
22634119_1.java,179,175,15,4,0.26666666666666666
19125948_1.java,2050,1035,13,4,0.3076923076923077
4577475_0.java,56,56,48,7,0.14583333333333334
5441369_0.java,53941,4954,77,4,0.05194805194805195
8540661_0.java,1681,724,12,6,0.5
23000990_0.java,91,34,17,5,0.29411764705882354
24177339_0.java,1399,1343,49,4,0.08163265306122448
9089033_0.java,17,15,29,4,0.13793103448275862
16361198_0.java,55329,5210,69,4,0.057971014492753624
3339032_0.java,83,77,40,5,0.125
11012790_0.java,19698,4853,26,4,0.15384615384615385
14954172_1.java,1,1,12,6,0.5
7078639_0.java,6,6,37,5,0.13513513513513514
5037940_0.java,14660,662,16,4,0.25
21844803_0.java,12,10,70,4,0.05714285714285714
22190653_1.java,1,1,18,4,0.2222222222222222
21421254_1.java,961,529,78,4,0.05128205128205128
14272351_0.java,6422,2229,72,4,0.05555555555555555
14757159_0.java,16,10,24,5,0.20833333333333334
11698084_0.java,435,408,9,5,0.5555555555555556
24936851_1.java,214,181,17,4,0.23529411764705882
15401986_0.java,1953,774,21,6,0.2857142857142857
17290628_0.java,4,4,31,4,0.12903225806451613
22577993_0.java,263,222,160,6,0.0375
10422325_0.java,5,5,12,5,0.4166666666666667
16767496_0.java,178,123,22,6,0.2727272727272727
23042304_1.java,15,15,70,7,0.1
11262154_0.java,1,1,29,4,0.13793103448275862
8465260_0.java,25,25,15,8,0.5333333333333333
6874878_0.java,2406,546,8,5,0.625
20536173_0.java,5,5,70,4,0.05714285714285714
11803010_0.java,2,2,62,5,0.08064516129032258
8679512_0.java,2,2,13,4,0.3076923076923077
15776976_2.java,3,3,105,4,0.0380952380952381
25275942_1.java,10,9,7,4,0.5714285714285714
11916593_4.java,12,7,26,6,0.23076923076923078
10587577_1.java,8,6,26,5,0.19230769230769232
9959865_0.java,78,47,126,5,0.03968253968253968
25209934_0.java,17,17,13,5,0.38461538461538464
9440487_1.java,23,23,46,4,0.08695652173913043
14768795_0.java,35,22,40,5,0.125
14456836_0.java,2,2,26,4,0.15384615384615385
20707914_0.java,1,1,11,6,0.5454545454545454
19834577_1.java,1,1,10,4,0.4
15574311_0.java,712,333,31,4,0.12903225806451613
22274036_1.java,67,3,25,14,0.56
9294415_0.java,4,2,19,4,0.21052631578947367
21982353_1.java,149,27,19,5,0.2631578947368421
13914445_0.java,2,2,40,6,0.15
5937418_0.java,1108,135,7,4,0.5714285714285714
13277748_1.java,3,3,15,5,0.3333333333333333
22786243_0.java,1,1,31,4,0.12903225806451613
5456909_0.java,134,62,21,4,0.19047619047619047
14203015_0.java,15,6,10,5,0.5
6184762_0.java,4,4,16,4,0.25
3171688_1.java,897,638,34,4,0.11764705882352941
20158750_0.java,87,50,39,4,0.10256410256410256
3740013_0.java,4584,2757,27,6,0.2222222222222222
9744933_0.java,3644,629,56,5,0.08928571428571429
931410_1.java,24945,5852,100,6,0.06
20257852_0.java,689,97,5,4,0.8
22543773_0.java,1,1,11,4,0.36363636363636365
20555722_0.java,2,2,15,4,0.26666666666666666
5438607_0.java,849,428,43,5,0.11627906976744186
13335206_1.java,8,4,47,6,0.1276595744680851
13661539_1.java,47,42,8,5,0.625
22083256_1.java,8,5,10,4,0.4
23367203_0.java,1,1,13,6,0.46153846153846156
25027975_0.java,5,5,93,4,0.043010752688172046
23185183_1.java,26211,3973,37,6,0.16216216216216217
11067802_0.java,88,54,71,5,0.07042253521126761
17008890_0.java,2,2,20,5,0.25
