fragment, used, inprojects, sloc, usedsloc, percent,
19051537_0.java,2,2,88,63,0.72,x
92962_0.java,1,1,62,49,0.79,x
23974103_0.java,1,1,36,33,0.92,x
9709633_0.java,1,1,169,32,0.19,x
15168494_0.java,1,1,30,28,0.93,x
24924255_0.java,1,1,32,19,0.59,x
23967852_0.java,1,1,20,18,0.90,x
8802082_2.java,1,1,20,18,0.90,x
23520731_0.java,2,1,75,17,0.23,x
801987_0.java,1,1,18,16,0.89,x
21099738_0.java,1,1,58,15,0.26,x
12427981_1.java,2,1,55,15,0.27,x
12879764_0.java,2,2,41,15,0.37,x
24963319_3.java,1,1,17,15,0.88,x
15889119_0.java,1,1,17,15,0.88,x
5713930_0.java,1,1,16,15,0.94,x
2398335_0.java,1,1,16,15,0.94,x
11092289_1.java,1,1,57,14,0.25,x
7047728_0.java,5,5,44,13,0.30,x
23346101_1.java,2,2,22,13,0.59,x
18137301_0.java,1,1,16,13,0.81,x
16180910_0.java,2,2,15,13,0.87,x
22261392_0.java,1,1,119,12,0.10,x
16928749_0.java,2,2,98,12,0.12,x
11187462_0.java,2,1,87,12,0.14,x
21702608_0.java,2,1,36,12,0.33,
10737817_0.java,1,1,14,12,0.86,
16058183_0.java,1,1,14,12,0.86,
14020074_0.java,4,2,125,11,0.09,
10548630_0.java,2,1,106,11,0.10,
20895609_0.java,2,2,85,11,0.13,
18303692_0.java,2,2,68,11,0.16,
1110491_0.java,2,1,44,11,0.25,
8257554_0.java,1,1,14,11,0.79,
25056629_1.java,1,1,14,11,0.79,
20458485_0.java,1,1,12,11,0.92,
10274267_0.java,1,1,12,11,0.92,
3275733_0.java,1,1,12,11,0.92,
14330686_0.java,1,1,12,11,0.92,
3788516_0.java,1,1,12,11,0.92,
21777900_0.java,1,1,12,11,0.92,
14582029_0.java,1,1,12,11,0.92,
22160470_1.java,3,3,301,10,0.03,
11279561_0.java,1,1,127,10,0.08,
9168410_0.java,1,1,125,10,0.08,
20593873_1.java,19,19,112,10,0.09,
12486929_0.java,4,4,96,10,0.10,
11239674_1.java,3,3,93,10,0.11,
10376035_0.java,1,1,90,10,0.11,
22212300_1.java,19,19,82,10,0.12,
23286787_0.java,11,6,79,10,0.13,
15649188_0.java,16,15,77,10,0.13,
14505129_0.java,3,2,74,10,0.14,
1514773_0.java,3,3,73,10,0.14,
21734562_0.java,4,3,70,10,0.14,
9984165_0.java,1,1,68,10,0.15,
21161594_1.java,21,21,65,10,0.15,
17698380_0.java,17,13,65,10,0.15,
9650217_0.java,1,1,62,10,0.16,
11038888_1.java,21,21,61,10,0.16,
8180925_0.java,6,6,60,10,0.17,
24973385_0.java,29,19,59,10,0.17,
20522073_1.java,7,7,55,10,0.18,
11058682_0.java,21,21,53,10,0.19,
14073238_0.java,9,9,53,10,0.19,
24358038_0.java,7,7,53,10,0.19,
18013191_3.java,4,4,53,10,0.19,
13459971_0.java,19,19,52,10,0.19,
3212907_0.java,7,7,52,10,0.19,
12381574_0.java,3,3,51,10,0.20,
21786837_0.java,6,6,50,10,0.20,
12380997_0.java,1,1,50,10,0.20,
20793662_0.java,3,3,47,10,0.21,
2875015_0.java,2,2,46,10,0.22,
16831289_0.java,7,7,44,10,0.23,
22233497_0.java,1,1,44,10,0.23,
13434746_0.java,81,64,42,10,0.24,
23540649_1.java,7,7,42,10,0.24,
10402768_1.java,6,6,42,10,0.24,
14804456_0.java,1,1,41,10,0.24,
11481112_0.java,1,1,39,10,0.26,
11083864_1.java,21,21,38,10,0.26,
22970618_0.java,19,19,38,10,0.26,
11083864_3.java,21,21,37,10,0.27,
23272461_3.java,19,19,37,10,0.27,
7836146_0.java,6,6,37,10,0.27,
5190105_0.java,1,1,37,10,0.27,
4377130_0.java,27,24,36,10,0.28,
23291118_1.java,4,4,35,10,0.29,
20577069_0.java,1,1,33,10,0.30,
9859376_0.java,1,1,33,10,0.30,
8325842_0.java,1,1,33,10,0.30,
14740385_2.java,6,6,31,10,0.32,
25198825_0.java,21,21,30,10,0.33,
6082389_0.java,17,13,30,10,0.33,
3939285_0.java,9,9,29,10,0.34,
10211953_0.java,6,6,29,10,0.34,
8730169_0.java,2,2,29,10,0.34,
7272251_0.java,1,1,29,10,0.34,
17997605_0.java,27,23,28,10,0.36,
20444710_3.java,6,6,28,10,0.36,
7836146_3.java,3,3,28,10,0.36,
9432435_0.java,2,2,28,10,0.36,
21114828_0.java,2,2,28,10,0.36,
22735160_0.java,1,1,28,10,0.36,
19957163_1.java,15,9,27,10,0.37,
14930413_0.java,9,9,27,10,0.37,
8416340_0.java,1,1,27,10,0.37,
24848281_0.java,7,7,26,10,0.38,
5325408_1.java,1,1,26,10,0.38,
13933424_0.java,26,21,24,10,0.42,
14274409_1.java,19,19,24,10,0.42,
3559815_0.java,2,2,24,10,0.42,
12375937_0.java,1,1,24,10,0.42,
14693840_0.java,1,1,24,10,0.42,
13417932_2.java,41,28,23,10,0.43,
20681509_0.java,9,9,23,10,0.43,
22501464_0.java,7,7,23,10,0.43,
23272461_10.java,1,1,23,10,0.43,
8424176_0.java,1,1,23,10,0.43,
20227507_1.java,22,21,22,10,0.45,
20590064_1.java,22,21,22,10,0.45,
23528334_1.java,24,19,21,10,0.48,
23568650_0.java,15,9,20,10,0.50,
24056686_0.java,13,13,20,10,0.50,
4387534_1.java,3,3,20,10,0.50,
15839660_1.java,1,1,18,10,0.56,
10000096_1.java,20,19,17,10,0.59,
19154487_0.java,30,21,16,10,0.63,
14908094_2.java,30,21,16,10,0.63,
5883717_1.java,17,13,16,10,0.63,
14821842_1.java,4,4,16,10,0.63,
24963319_2.java,1,1,13,10,0.77,
11825416_0.java,1,1,13,10,0.77,
9291241_1.java,1,1,12,10,0.83,
8713017_0.java,1,1,12,10,0.83,
15633427_0.java,1,1,12,10,0.83,
2761630_0.java,1,1,11,10,0.91,
21142088_0.java,1,1,146,9,0.06,
21912294_0.java,1,1,138,9,0.07,
24453994_0.java,1,1,137,9,0.07,
18764836_0.java,1,1,133,9,0.07,
15373186_0.java,1,1,133,9,0.07,
20513679_0.java,1,1,132,9,0.07,
11958726_0.java,1,1,95,9,0.09,
10292516_0.java,1,1,79,9,0.11,
21309519_1.java,3,3,50,9,0.18,
10091556_0.java,2,2,47,9,0.19,
5975897_0.java,1,1,40,9,0.23,
22315734_0.java,1,1,26,9,0.35,
6121298_0.java,3,3,22,9,0.41,
10599247_0.java,1,1,17,9,0.53,
12835370_0.java,8,4,12,9,0.75,
11202699_0.java,8,4,12,9,0.75,
12428601_0.java,8,4,12,9,0.75,
24013939_0.java,4,4,12,9,0.75,
25414160_0.java,2,1,11,9,0.82,
14845581_1.java,1,1,11,9,0.82,
7727999_0.java,2,2,203,8,0.04,
13824658_2.java,3,1,202,8,0.04,
13247649_0.java,4,2,106,8,0.08,
13678077_1.java,1,1,84,8,0.10,
13678077_0.java,1,1,73,8,0.11,
4533682_1.java,71,58,61,8,0.13,
17708273_0.java,4,2,58,8,0.14,
10165127_0.java,11,3,57,8,0.14,
24652083_0.java,59,57,55,8,0.15,
18614607_0.java,9,5,43,8,0.19,
18833798_0.java,1,1,43,8,0.19,
15959072_0.java,4,3,32,8,0.25,
2132385_0.java,59,57,28,8,0.29,
13836362_1.java,8,8,28,8,0.29,
2752455_0.java,9,3,23,8,0.35,
23782959_0.java,9,3,23,8,0.35,
1201102_0.java,9,3,23,8,0.35,
10135259_0.java,9,3,22,8,0.36,
4705410_0.java,1,1,20,8,0.40,
19340685_0.java,1,1,17,8,0.47,
609430_0.java,1,1,17,8,0.47,
22553523_0.java,1,1,16,8,0.50,
4608146_0.java,8,3,13,8,0.62,
8758512_0.java,1,1,12,8,0.67,
21581988_0.java,258,66,421,7,0.02,
24330611_0.java,273,66,355,7,0.02,
7995857_0.java,2,2,285,7,0.02,
