fragment, used, inprojects, sloc, usedsloc, percent,,,,,,,
8653765_0.java,1,1,49,7,0.142857143,,Total,61164,,,,
1487134_0.java,2,2,71,7,0.098591549,,mean,77.52091255,,,7.315589354,0.258143636
14824172_0.java,511,170,26,7,0.269230769,,std dev,208.0142486,,,2.710449724,0.258289938
24963319_5.java,1,1,19,7,0.368421053,,max,1300,,,49,0.258492859
12428601_0.java,5,3,12,9,0.75,,min,1,,,5,0.258479197
25763458_0.java,790,183,28,7,0.25,,med,2,,,7,0.258339144
3925121_0.java,3,2,24,11,0.458333333,,mode,1,,,7,0.257712026
11371025_0.java,4,4,185,6,0.032432432,,,,,,,
12279998_4.java,16,8,36,7,0.194444444,,,,,,,
21161594_1.java,23,23,65,10,0.153846154,,,,,,,
5309185_0.java,5,5,11,5,0.454545455,,,,,,,
8701537_0.java,1,1,80,7,0.0875,,,,,,,
18832502_1.java,18,17,25,5,0.2,,,,,,,
9684751_0.java,789,183,40,7,0.175,,,,,,,
12707482_0.java,2,1,250,7,0.028,,,,,,,
4214136_0.java,1,1,15,9,0.6,,,,,,,
17205582_0.java,1,1,17,11,0.647058824,,,,,,,
13247649_0.java,1,1,106,8,0.075471698,,,,,,,
22607399_1.java,1,1,139,7,0.050359712,,,,,,,
23419554_0.java,16,8,52,7,0.134615385,,,,,,,
3911987_0.java,5,3,133,7,0.052631579,,,,,,,
21620983_0.java,5,5,15,5,0.333333333,,,,,,,
3694885_0.java,1,1,115,7,0.060869565,,,,,,,
5764008_1.java,7,7,164,7,0.042682927,,,,,,,
24772546_0.java,511,170,75,7,0.093333333,,,,,,,
23070487_0.java,1,1,19,7,0.368421053,,,,,,,
19774879_0.java,1,1,94,5,0.053191489,,,,,,,
7570821_0.java,161,157,9,7,0.777777778,,,,,,,
11878756_0.java,1,1,151,6,0.039735099,,,,,,,
10211953_0.java,34,34,29,10,0.344827586,,,,,,,
8907409_0.java,1,1,24,7,0.291666667,,,,,,,
19220757_0.java,511,170,17,7,0.411764706,,,,,,,
22744303_0.java,1,1,127,7,0.05511811,,,,,,,
15408066_0.java,7,6,96,6,0.0625,,,,,,,
14505129_0.java,2,1,74,10,0.135135135,,,,,,,
3378450_0.java,174,141,81,6,0.074074074,,,,,,,
3046986_1.java,633,200,22,7,0.318181818,,,,,,,
7402814_0.java,1,1,34,6,0.176470588,,,,,,,
22735160_0.java,4,4,28,10,0.357142857,,,,,,,
16473163_0.java,1,1,26,5,0.192307692,,,,,,,
22264974_0.java,1,1,17,9,0.529411765,,,,,,,
1888284_0.java,1,1,49,7,0.142857143,,,,,,,
18137301_0.java,1,1,16,13,0.8125,,,,,,,
10143872_0.java,1,1,22,14,0.636363636,,,,,,,
13629377_0.java,1,1,33,7,0.212121212,,,,,,,
4329039_5.java,46,28,25,7,0.28,,,,,,,
3537407_0.java,9,9,17,6,0.352941176,,,,,,,
21761537_0.java,7,7,29,7,0.24137931,,,,,,,
10883946_0.java,5,5,211,5,0.023696682,,,,,,,
21309519_1.java,1,1,50,7,0.14,,,,,,,
11696992_0.java,7,7,116,5,0.043103448,,,,,,,
9432435_0.java,2,2,28,10,0.357142857,,,,,,,
2265637_0.java,789,183,43,7,0.162790698,,,,,,,
19981856_0.java,1,1,89,6,0.06741573,,,,,,,
20203510_1.java,511,170,20,7,0.35,,,,,,,
17175043_1.java,5,5,15,5,0.333333333,,,,,,,
7901334_0.java,1,1,119,6,0.050420168,,,,,,,
22513858_0.java,1,1,50,7,0.14,,,,,,,
12583924_0.java,1,1,62,6,0.096774194,,,,,,,
10274267_0.java,2,2,12,11,0.916666667,,,,,,,
15248123_2.java,16,8,28,7,0.25,,,,,,,
19433968_0.java,4,4,16,7,0.4375,,,,,,,
9709633_0.java,1,1,169,32,0.189349112,,,,,,,
22367293_0.java,4,4,259,6,0.023166023,,,,,,,
24815609_0.java,3,2,80,7,0.0875,,,,,,,
3032205_0.java,48,28,23,7,0.304347826,,,,,,,
11019829_0.java,3,1,53,6,0.113207547,,,,,,,
9840760_0.java,1,1,25,7,0.28,,,,,,,
13460735_0.java,1,1,13,5,0.384615385,,,,,,,
11254837_1.java,5,1,12,5,0.416666667,,,,,,,
16479988_0.java,1,1,30,10,0.333333333,,,,,,,
20862393_1.java,1,1,21,7,0.333333333,,,,,,,
20817825_0.java,2,2,18,6,0.333333333,,,,,,,
16930707_0.java,2,1,71,13,0.183098592,,,,,,,
6908216_0.java,4,4,22,6,0.272727273,,,,,,,
7838936_0.java,162,141,43,6,0.139534884,,,,,,,
10142321_0.java,1,1,19,9,0.473684211,,,,,,,
17840811_0.java,1,1,78,5,0.064102564,,,,,,,
18164207_0.java,1,1,15,6,0.4,,,,,,,
11608885_0.java,1,1,35,6,0.171428571,,,,,,,
10376035_0.java,1,1,90,10,0.111111111,,,,,,,
9556760_1.java,1,1,10,5,0.5,,,,,,,
23568650_0.java,14,9,20,10,0.5,,,,,,,
15844981_0.java,1,1,218,7,0.032110092,,,,,,,
16462678_0.java,511,170,39,7,0.179487179,,,,,,,
874424_0.java,1,1,55,5,0.090909091,,,,,,,
18970642_3.java,3,3,185,6,0.032432432,,,,,,,
9309361_0.java,1,1,86,7,0.081395349,,,,,,,
185942_0.java,33,33,14,6,0.428571429,,,,,,,
22531102_1.java,1,1,49,7,0.142857143,,,,,,,
4053177_0.java,1,1,14,5,0.357142857,,,,,,,
5708120_0.java,10,4,65,5,0.076923077,,,,,,,
18013191_3.java,2,2,53,10,0.188679245,,,,,,,
7071998_0.java,1,1,30,7,0.233333333,,,,,,,
23528334_1.java,24,21,21,7,0.333333333,,,,,,,
16718736_0.java,3,1,44,5,0.113636364,,,,,,,
23713317_0.java,1,1,172,7,0.040697674,,,,,,,
12604600_0.java,5,5,115,5,0.043478261,,,,,,,
7504040_2.java,1,1,15,6,0.4,,,,,,,
12943487_0.java,5,5,74,5,0.067567568,,,,,,,
4199439_0.java,1,1,37,5,0.135135135,,,,,,,
11937204_3.java,5,4,31,6,0.193548387,,,,,,,
21777900_0.java,2,2,12,11,0.916666667,,,,,,,
9657759_1.java,162,141,53,6,0.113207547,,,,,,,
16478132_0.java,1,1,153,5,0.032679739,,,,,,,
9291241_1.java,1,1,12,10,0.833333333,,,,,,,
