fragment, used, inprojects, sloc, usedsloc, percent
18980026_1.java,4,4,10,4,0.4
9475217_0.java,1027,273,17,6,0.35294117647058826
18632393_1.java,375792,10747,84,6,0.07142857142857142
9546696_0.java,8,7,21,4,0.19047619047619047
12158045_0.java,1343,602,12,7,0.5833333333333334
20272510_0.java,1,1,17,6,0.35294117647058826
14149844_3.java,2,1,5,4,0.8
24220674_1.java,2,2,9,4,0.4444444444444444
18254778_0.java,1,1,20,4,0.2
13368844_0.java,4,4,11,5,0.45454545454545453
7631774_0.java,17,17,39,4,0.10256410256410256
23959176_0.java,1,1,13,6,0.46153846153846156
19431676_0.java,29,29,11,4,0.36363636363636365
24625704_0.java,7929,3526,483,5,0.010351966873706004
14004792_1.java,160,144,35,6,0.17142857142857143
11996513_0.java,1008,941,11,5,0.45454545454545453
5669849_0.java,3,3,16,6,0.375
22272156_0.java,1,1,10,4,0.4
5710937_0.java,1,1,6,4,0.6666666666666666
18960560_0.java,1,1,19,5,0.2631578947368421
17705077_0.java,3,3,15,4,0.26666666666666666
19894534_0.java,985,544,15,5,0.3333333333333333
18583365_0.java,7,7,22,5,0.22727272727272727
22274744_0.java,3,3,29,5,0.1724137931034483
12933086_0.java,2997,699,17,4,0.23529411764705882
6842384_0.java,9,7,12,4,0.3333333333333333
17553348_0.java,4,4,12,6,0.5
19644709_0.java,2,2,9,4,0.4444444444444444
19752046_1.java,2302,1263,12,5,0.4166666666666667
25177090_0.java,5,5,29,4,0.13793103448275862
25796220_0.java,57,14,15,4,0.26666666666666666
23912748_0.java,6593,1697,62,5,0.08064516129032258
11364013_0.java,2028,123,7,4,0.5714285714285714
5867432_0.java,140,131,17,5,0.29411764705882354
19342467_0.java,526,335,37,4,0.10810810810810811
22343103_0.java,32,30,27,4,0.14814814814814814
12545152_0.java,38,38,6,5,0.8333333333333334
8852086_0.java,93702,3757,162,6,0.037037037037037035
12738506_0.java,42,29,13,6,0.46153846153846156
23872326_0.java,677,582,27,5,0.18518518518518517
21176378_2.java,4,2,8,4,0.5
