fragment, used, inprojects, sloc, usedsloc, percent
18980026_1.java,7,7,10,4,0.4
9475217_0.java,1463,295,17,6,0.35294117647058826
18632393_1.java,349217,10118,84,4,0.047619047619047616
9546696_0.java,17,13,21,4,0.19047619047619047
12158045_0.java,659,372,12,7,0.5833333333333334
18254778_0.java,16,16,20,5,0.25
13368844_0.java,4,4,11,5,0.45454545454545453
7631774_0.java,8,8,39,4,0.10256410256410256
23959176_0.java,1,1,13,6,0.46153846153846156
19431676_0.java,41,41,11,4,0.36363636363636365
24625704_0.java,6480,2760,483,5,0.010351966873706004
14004792_1.java,317,226,35,6,0.17142857142857143
11996513_0.java,843,805,11,5,0.45454545454545453
5669849_0.java,3,3,16,6,0.375
7623138_0.java,1,1,11,5,0.45454545454545453
22272156_0.java,4,4,10,4,0.4
5710937_0.java,1,1,6,4,0.6666666666666666
18960560_0.java,1,1,19,5,0.2631578947368421
19894534_0.java,510,235,15,4,0.26666666666666666
22274744_0.java,1,1,29,5,0.1724137931034483
12933086_0.java,2994,653,17,4,0.23529411764705882
12352912_0.java,1,1,10,4,0.4
6842384_0.java,8,8,12,4,0.3333333333333333
17553348_0.java,6,6,12,6,0.5
19752046_1.java,1174,839,12,5,0.4166666666666667
25796220_0.java,36,14,15,4,0.26666666666666666
15915000_2.java,1,1,13,4,0.3076923076923077
23912748_0.java,4200,1345,62,5,0.08064516129032258
11364013_0.java,1404,89,7,4,0.5714285714285714
5867432_0.java,79,77,17,5,0.29411764705882354
19342467_0.java,157,94,37,4,0.10810810810810811
22343103_0.java,33,29,27,4,0.14814814814814814
12545152_0.java,37,37,6,5,0.8333333333333334
8852086_0.java,84329,3641,162,6,0.037037037037037035
12738506_0.java,2,2,13,5,0.38461538461538464
23872326_0.java,122,103,27,5,0.18518518518518517
21176378_2.java,3,1,8,4,0.5
1871691_0.java,4,3,50,4,0.08
22818246_0.java,2,2,13,8,0.6153846153846154
19504879_0.java,49,17,33,4,0.12121212121212122
25030443_0.java,1,1,26,5,0.19230769230769232
1244719_0.java,23,16,6,4,0.6666666666666666
207052_0.java,1,1,15,5,0.3333333333333333
18647984_1.java,8260,3727,48,6,0.125
20415670_0.java,8,8,30,6,0.2
20950859_0.java,257,206,80,4,0.05
21522763_0.java,64,26,11,6,0.5454545454545454
20898524_0.java,2,2,42,5,0.11904761904761904
19782050_0.java,1,1,67,4,0.05970149253731343
1156350_0.java,14,12,13,4,0.3076923076923077
10767829_1.java,12374,945,10,4,0.4
18742345_3.java,58,40,26,4,0.15384615384615385
15827068_0.java,1,1,19,6,0.3157894736842105
2901188_0.java,111,104,43,6,0.13953488372093023
15575537_1.java,2,2,7,4,0.5714285714285714
15179237_0.java,1,1,7,4,0.5714285714285714
11118559_0.java,28,27,27,6,0.2222222222222222
17848106_0.java,4,4,13,5,0.38461538461538464
12424402_0.java,20,19,9,5,0.5555555555555556
17669721_0.java,40,24,28,4,0.14285714285714285
13263022_0.java,2,2,41,4,0.0975609756097561
11751135_1.java,9,9,28,4,0.14285714285714285
19206945_0.java,91,37,21,6,0.2857142857142857
21491262_0.java,103,101,20,6,0.3
21195207_1.java,2,2,22,4,0.18181818181818182
11196661_0.java,6,3,17,4,0.23529411764705882
23964692_2.java,13,9,17,6,0.35294117647058826
10336163_1.java,314,189,50,5,0.1
22380313_1.java,6,4,29,4,0.13793103448275862
11265705_0.java,7,7,26,4,0.15384615384615385
20166855_0.java,264,201,13,5,0.38461538461538464
14068817_1.java,172,110,19,5,0.2631578947368421
16290691_0.java,1,1,46,5,0.10869565217391304
4941502_0.java,22,21,23,4,0.17391304347826086
16690145_1.java,4,4,19,5,0.2631578947368421
21279523_0.java,14,13,104,4,0.038461538461538464
23504316_0.java,42612,4402,78,4,0.05128205128205128
23572073_0.java,352,170,92,4,0.043478260869565216
20821619_0.java,3,3,30,4,0.13333333333333333
