No. of LOC, Occurrences
ArgoUML-0.34-src/argouml-cpp/src/org/argouml/language/cpp/generator/GeneratorCpp.java,1
ArgoUML-0.34-src/argouml-cpp/src/org/argouml/language/cpp/profile/ProfileModule.java,1
ArgoUML-0.34-src/argouml-csharp/src/org/argouml/language/csharp/generator/GeneratorCSharp.java,1
ArgoUML-0.34-src/argouml-csharp/src/org/argouml/language/csharp/importer/csparser/main/Test.java,1
ArgoUML-0.34-src/argouml-documentation/src/docbook-setup/docbook-xsl/extensions/saxon643/com/nwalsh/saxon/Callout.java,1
ArgoUML-0.34-src/argouml-documentation/src/docbook-setup/docbook-xsl/extensions/xalan2/com/nwalsh/xalan/Callout.java,1
ArgoUML-0.34-src/argouml-documentation/src/docbook-setup/docbook-xsl/extensions/xalan2/com/nwalsh/xalan/Params.java,1
ArgoUML-0.34-src/argouml-java/src/org/argouml/language/java/generator/GeneratorJava.java,1
ArgoUML-0.34-src/argouml-java/src/org/argouml/language/java/profile/ProfileJava.java,1
ArgoUML-0.34-src/argouml-sql/src/org/argouml/language/sql/GeneratorSql.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/cognitive/Designer.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/cognitive/ToDoList.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/cognitive/ui/ToDoPane.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/configuration/ConfigurationProperties.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/moduleloader/SettingsTabModules.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/profile/internal/ocl/uml14/HashBag.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/swingext/GlassPane.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/ui/ProjectBrowser.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/ui/cmd/GenericArgoMenuBar.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/uml/diagram/ui/FigNodeModelElement.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/uml/reveng/Import.java,1
ArgoUML-0.34-src/argouml/src/argouml-app/src/org/argouml/util/PredicateType.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-model-euml/src/org/argouml/model/euml/UmlFactoryEUMLImpl.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-model-euml/src/org/argouml/model/euml/XmiReaderEUMLImpl.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-model-mdr/src/org/argouml/model/mdr/FacadeMDRImpl.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UmlFactoryMDRImpl.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/module/XmlPropertyPanelsModule.java,2
ArgoUML-0.34-src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/ExpressionModel.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLExpressionModel.java,1
ArgoUML-0.34-src/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLValueSpecificationModel.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/controller/UIField.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/db/CConnection.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/framework/PO.java,1
