fragment, used, inprojects, sloc, usedsloc, percent,,
16327677_0.java,64602,14,60,18,0.3,x,Arrays - errors
25018225_0.java,31943,14,132,18,0.14,x,Arrays - errors
21535828_0.java,2984,14,69,18,0.26,x,Arrays - errors
22041769_1.java,1014,14,54,18,0.33,x,Arrays - errors
12124636_0.java,1014,14,85,18,0.21,x,Arrays - errors
21655588_0.java,1014,14,85,18,0.21,x,Arrays - errors
10105260_0.java,551,3,26,7,0.27,x,ok
3046986_1.java,480,3,22,7,0.32,x,ok
3664108_0.java,474,3,90,7,0.08,x,ok
16179971_5.java,464,3,26,7,0.27,x,ok
22315282_2.java,258,7,26,7,0.27,x,ok
14735904_0.java,258,7,44,7,0.16,x,ok
21280704_0.java,166,7,49,7,0.14,x,ok
15248123_2.java,14,1,28,7,0.25,x,ok
13836362_1.java,8,1,28,8,0.29,x,ok
13125257_0.java,8,1,21,5,0.24,x,ok
18223701_0.java,5,3,62,6,0.1,x,
5558166_0.java,3,2,13,5,0.38,x,
17873797_0.java,3,2,18,5,0.28,x,
22876532_0.java,3,1,25,6,0.24,x,
14165567_1.java,3,1,21,5,0.24,x,
19979651_1.java,2,2,30,7,0.23,x,
18502506_0.java,2,1,30,6,0.2,x,
15889119_0.java,1,1,17,15,0.88,x,
18545064_0.java,1,1,9,6,0.67,x,
9010878_0.java,1,1,8,5,0.63,x,
11481112_0.java,1,1,39,10,0.26,x,
12380997_0.java,1,1,50,10,0.2,x,
17128289_0.java,1,1,85,7,0.08,x,
18921519_0.java,1,1,102,7,0.07,x,
16326090_1.java,1,1,89,5,0.06,x,
11569223_0.java,1,1,143,7,0.05,x,
14016914_0.java,1,1,105,5,0.05,x,
1988212_1.java,464,3,37,7,0.19,,
20829961_0.java,464,3,56,7,0.13,,
11671112_0.java,419,7,65,7,0.11,,
11937204_2.java,349,2,24,7,0.29,,
15698192_2.java,347,4,27,7,0.26,,
15698192_3.java,347,4,27,7,0.26,,
17260065_0.java,343,2,23,7,0.3,,
10055548_0.java,308,9,84,7,0.08,,
10194435_0.java,285,7,61,7,0.11,,
24330611_0.java,273,7,355,7,0.02,,
4207100_2.java,272,7,45,7,0.16,,
4207100_3.java,272,7,62,7,0.11,,
6921379_0.java,271,7,28,7,0.25,,
12776901_0.java,271,7,28,7,0.25,,
20755453_0.java,270,7,28,7,0.25,,
25386510_0.java,270,7,28,7,0.25,,
18209411_3.java,270,7,32,7,0.22,,
16688737_0.java,270,7,41,7,0.17,,
25763458_0.java,259,7,28,7,0.25,,
7383847_1.java,259,7,63,7,0.11,,
23415361_1.java,258,7,24,7,0.29,,
3692441_0.java,258,7,28,7,0.25,,
8422637_0.java,258,7,28,7,0.25,,
23526184_0.java,258,7,29,7,0.24,,
13225202_0.java,258,7,32,7,0.22,,
12008316_0.java,258,7,32,7,0.22,,
19614645_1.java,258,7,32,7,0.22,,
23197177_1.java,258,7,34,7,0.21,,
15095000_0.java,258,7,37,7,0.19,,
5961624_0.java,258,7,39,7,0.18,,
9684751_0.java,258,7,40,7,0.18,,
17920930_0.java,258,7,41,7,0.17,,
2265637_0.java,258,7,43,7,0.16,,
24040300_3.java,258,7,43,7,0.16,,
9591522_0.java,258,7,46,7,0.15,,
3851674_0.java,258,7,46,7,0.15,,
15850476_0.java,258,7,46,7,0.15,,
1516601_0.java,258,7,47,7,0.15,,
11917735_0.java,258,7,48,7,0.15,,
13066157_0.java,258,7,57,7,0.12,,
3482765_0.java,258,7,57,7,0.12,,
8252690_0.java,258,7,60,7,0.12,,
22264084_0.java,258,7,62,7,0.11,,
20453802_0.java,258,7,69,7,0.1,,
25044969_0.java,258,7,81,7,0.09,,
17941176_0.java,258,7,101,7,0.07,,
