fragment, used, inprojects, sloc, usedsloc, percent
18980026_1.java,6,6,10,4,0.4
9475217_0.java,1472,264,17,4,0.23529411764705882
18632393_1.java,247587,7981,84,6,0.07142857142857142
9546696_0.java,17,13,21,4,0.19047619047619047
12158045_0.java,628,355,12,7,0.5833333333333334
18254778_0.java,4,4,20,5,0.25
23959176_0.java,1,1,13,6,0.46153846153846156
7631774_0.java,1,1,39,4,0.10256410256410256
19431676_0.java,17,17,11,4,0.36363636363636365
24625704_0.java,5788,2350,483,5,0.010351966873706004
11996513_0.java,688,663,11,5,0.45454545454545453
5669849_0.java,3,3,16,6,0.375
7623138_0.java,2,1,11,5,0.45454545454545453
14004792_1.java,2,2,35,6,0.17142857142857143
22272156_0.java,2,2,10,4,0.4
19894534_0.java,217,128,15,4,0.26666666666666666
22274744_0.java,1,1,29,5,0.1724137931034483
12933086_0.java,3049,669,17,4,0.23529411764705882
6842384_0.java,8,8,12,4,0.3333333333333333
17553348_0.java,5,5,12,6,0.5
19752046_1.java,91,80,12,5,0.4166666666666667
25796220_0.java,36,14,15,4,0.26666666666666666
15915000_2.java,1,1,13,4,0.3076923076923077
23912748_0.java,3470,1102,62,5,0.08064516129032258
11364013_0.java,1425,96,7,4,0.5714285714285714
5867432_0.java,17,15,17,5,0.29411764705882354
19342467_0.java,40,16,37,4,0.10810810810810811
8852086_0.java,79882,3162,162,6,0.037037037037037035
23872326_0.java,6,6,27,5,0.18518518518518517
21176378_2.java,3,1,8,4,0.5
1871691_0.java,7,5,50,4,0.08
22818246_0.java,2,2,13,8,0.6153846153846154
19504879_0.java,45,15,33,4,0.12121212121212122
1244719_0.java,23,16,6,4,0.6666666666666666
18647984_1.java,6524,2880,48,6,0.125
20415670_0.java,9,9,30,6,0.2
20950859_0.java,3,1,80,5,0.0625
21522763_0.java,39,21,11,6,0.5454545454545454
20898524_0.java,2,2,42,5,0.11904761904761904
1156350_0.java,13,11,13,4,0.3076923076923077
10767829_1.java,2911,66,10,4,0.4
18742345_3.java,57,39,26,4,0.15384615384615385
15827068_0.java,1,1,19,6,0.3157894736842105
2901188_0.java,16,16,43,6,0.13953488372093023
15575537_1.java,1,1,7,4,0.5714285714285714
15179237_0.java,2,2,7,4,0.5714285714285714
11118559_0.java,27,26,27,6,0.2222222222222222
17848106_0.java,4,4,13,5,0.38461538461538464
17669721_0.java,40,24,28,4,0.14285714285714285
13263022_0.java,2,2,41,4,0.0975609756097561
19206945_0.java,97,40,21,6,0.2857142857142857
11751135_1.java,7,7,28,5,0.17857142857142858
21491262_0.java,78,75,20,6,0.3
21195207_1.java,1,1,22,4,0.18181818181818182
11196661_0.java,6,3,17,4,0.23529411764705882
23964692_2.java,10,6,17,6,0.35294117647058826
10336163_1.java,149,86,50,5,0.1
22380313_1.java,6,4,29,4,0.13793103448275862
11265705_0.java,6,6,26,4,0.15384615384615385
20166855_0.java,3,3,13,5,0.38461538461538464
14068817_1.java,15,11,19,5,0.2631578947368421
16290691_0.java,1,1,46,5,0.10869565217391304
4941502_0.java,22,21,23,4,0.17391304347826086
16690145_1.java,3,3,19,5,0.2631578947368421
21279523_0.java,7,6,104,4,0.038461538461538464
23504316_0.java,8489,2152,78,6,0.07692307692307693
23572073_0.java,15,9,92,4,0.043478260869565216
20821619_0.java,2,2,30,4,0.13333333333333333
13561675_0.java,8,5,128,4,0.03125
14144991_0.java,3,3,40,7,0.175
11852384_0.java,7,6,11,5,0.45454545454545453
3348709_0.java,3083,674,13,4,0.3076923076923077
1111389_0.java,183,78,9,4,0.4444444444444444
20468642_1.java,5035,430,50,5,0.1
15269004_3.java,19,14,26,4,0.15384615384615385
614590_0.java,4,4,30,5,0.16666666666666666
16930707_0.java,188,171,71,6,0.08450704225352113
249019_1.java,301,250,19,7,0.3684210526315789
17040892_0.java,157,60,33,5,0.15151515151515152
11875528_0.java,2,1,67,7,0.1044776119402985
17256283_0.java,1,1,31,5,0.16129032258064516
9722771_0.java,11,9,25,5,0.2
1298351_1.java,5,5,16,7,0.4375
23540649_1.java,179104,3070,42,6,0.14285714285714285
14773581_0.java,23,18,14,5,0.35714285714285715
25312557_0.java,3,3,11,4,0.36363636363636365
17562199_1.java,22,14,15,5,0.3333333333333333
24110581_0.java,4981,149,51,4,0.0784313725490196
22412273_0.java,164,75,28,6,0.21428571428571427
21679282_0.java,58,58,12,4,0.3333333333333333
16157656_3.java,2,2,8,4,0.5
5231915_0.java,6,4,49,5,0.10204081632653061
7871506_1.java,1,1,10,5,0.5
21806929_0.java,4668,480,67,4,0.05970149253731343
22048779_0.java,19,19,101,5,0.04950495049504951
21464196_0.java,21951,2201,87,4,0.04597701149425287
13173059_0.java,140,70,16,7,0.4375
25491400_0.java,2,1,56,4,0.07142857142857142
12299832_0.java,153,140,20,6,0.3
21497448_0.java,6212795,2440,284,4,0.014084507042253521
8765342_0.java,5763,394,41,4,0.0975609756097561
23641946_1.java,1,1,6,4,0.6666666666666666
7828419_0.java,1032360,4863,93,6,0.06451612903225806
22750426_0.java,24,4,8,4,0.5
23415555_0.java,56,27,35,4,0.11428571428571428
9226708_1.java,32386,2907,31,6,0.1935483870967742
2761888_0.java,20,20,16,4,0.25
10618150_0.java,2,2,23,4,0.17391304347826086
11114284_0.java,37,31,40,4,0.1
2921744_0.java,6,1,28,7,0.25
9233323_0.java,4,3,12,4,0.3333333333333333
21436873_0.java,1733,452,34,4,0.11764705882352941
11151442_2.java,65,36,28,4,0.14285714285714285
10155466_0.java,4,4,21,4,0.19047619047619047
15739387_0.java,1,1,12,4,0.3333333333333333
21818931_0.java,3,3,62,4,0.06451612903225806
15328399_0.java,1,1,92,4,0.043478260869565216
1329939_0.java,1,1,11,6,0.5454545454545454
5737384_0.java,114,101,60,5,0.08333333333333333
11405151_0.java,2,2,37,5,0.13513513513513514
20646237_0.java,36,36,6,4,0.6666666666666666
4483460_0.java,29,29,10,5,0.5
2622935_0.java,8,8,47,5,0.10638297872340426
15099260_0.java,3183,917,9,4,0.4444444444444444
687574_0.java,1,1,9,4,0.4444444444444444
24217085_2.java,534,348,14,7,0.5
20930420_2.java,8,7,20,6,0.3
25561128_2.java,1,1,15,5,0.3333333333333333
15454842_0.java,3244,964,128,4,0.03125
19784419_0.java,113,27,13,5,0.38461538461538464
